date,currency,field,value
2011-02-28,KRW Curncy,KOTBEXPY Index,9.8
2011-03-31,KRW Curncy,KOTBEXPY Index,17.6
2011-04-30,KRW Curncy,KOTBEXPY Index,21.0
2011-05-31,KRW Curncy,KOTBEXPY Index,16.5
2011-06-30,KRW Curncy,KOTBEXPY Index,18.8
2011-07-31,KRW Curncy,KOTBEXPY Index,24.6
2011-08-31,KRW Curncy,KOTBEXPY Index,15.2
2011-09-30,KRW Curncy,KOTBEXPY Index,-10.6
2011-10-31,KRW Curncy,KOTBEXPY Index,8.7
2011-11-30,KRW Curncy,KOTBEXPY Index,1.7
2011-12-31,KRW Curncy,KOTBEXPY Index,13.5
2012-01-31,KRW Curncy,KOTBEXPY Index,5.9
2012-02-29,KRW Curncy,KOTBEXPY Index,24.4
2012-03-31,KRW Curncy,KOTBEXPY Index,4.8
2012-04-30,KRW Curncy,KOTBEXPY Index,7.6
2012-05-31,KRW Curncy,KOTBEXPY Index,-5.4
2012-06-30,KRW Curncy,KOTBEXPY Index,0.2
2012-07-31,KRW Curncy,KOTBEXPY Index,-4.1
2012-08-31,KRW Curncy,KOTBEXPY Index,-11.5
2012-09-30,KRW Curncy,KOTBEXPY Index,8.3
2012-10-31,KRW Curncy,KOTBEXPY Index,-1.5
2012-11-30,KRW Curncy,KOTBEXPY Index,1.2
2012-12-31,KRW Curncy,KOTBEXPY Index,-6.0
2013-01-31,KRW Curncy,KOTBEXPY Index,-9.3
2013-02-28,KRW Curncy,KOTBEXPY Index,-10.1
2013-03-31,KRW Curncy,KOTBEXPY Index,3.2
2013-04-30,KRW Curncy,KOTBEXPY Index,-3.1
2013-05-31,KRW Curncy,KOTBEXPY Index,-3.8
2013-06-30,KRW Curncy,KOTBEXPY Index,-3.0
2013-07-31,KRW Curncy,KOTBEXPY Index,-0.1
2013-08-31,KRW Curncy,KOTBEXPY Index,15.9
2013-09-30,KRW Curncy,KOTBEXPY Index,-2.9
2013-10-31,KRW Curncy,KOTBEXPY Index,2.7
2013-11-30,KRW Curncy,KOTBEXPY Index,2.5
2013-12-31,KRW Curncy,KOTBEXPY Index,10.6
2014-01-31,KRW Curncy,KOTBEXPY Index,3.8
2014-02-28,KRW Curncy,KOTBEXPY Index,3.8
2014-03-31,KRW Curncy,KOTBEXPY Index,7.7
2014-04-30,KRW Curncy,KOTBEXPY Index,3.1
2014-05-31,KRW Curncy,KOTBEXPY Index,-0.4
2014-06-30,KRW Curncy,KOTBEXPY Index,5.9
2014-07-31,KRW Curncy,KOTBEXPY Index,-2.4
2014-08-31,KRW Curncy,KOTBEXPY Index,-1.2
2014-09-30,KRW Curncy,KOTBEXPY Index,9.3
2014-10-31,KRW Curncy,KOTBEXPY Index,3.9
2014-11-30,KRW Curncy,KOTBEXPY Index,3.6
2014-12-31,KRW Curncy,KOTBEXPY Index,-0.8
2015-01-31,KRW Curncy,KOTBEXPY Index,-9.5
2015-02-28,KRW Curncy,KOTBEXPY Index,-0.1
2015-03-31,KRW Curncy,KOTBEXPY Index,-1.7
2015-04-30,KRW Curncy,KOTBEXPY Index,-10.4
2015-05-31,KRW Curncy,KOTBEXPY Index,-7.8
2015-06-30,KRW Curncy,KOTBEXPY Index,1.2
2015-07-31,KRW Curncy,KOTBEXPY Index,-8.6
2015-08-31,KRW Curncy,KOTBEXPY Index,-12.1
2015-09-30,KRW Curncy,KOTBEXPY Index,-7.0
2015-10-31,KRW Curncy,KOTBEXPY Index,-16.3
2015-11-30,KRW Curncy,KOTBEXPY Index,-8.3
2015-12-31,KRW Curncy,KOTBEXPY Index,-19.5
2016-01-31,KRW Curncy,KOTBEXPY Index,-10.5
2016-02-29,KRW Curncy,KOTBEXPY Index,-18.0
2016-03-31,KRW Curncy,KOTBEXPY Index,-19.4
2016-04-30,KRW Curncy,KOTBEXPY Index,-13.2
2016-05-31,KRW Curncy,KOTBEXPY Index,0.9
2016-06-30,KRW Curncy,KOTBEXPY Index,-13.2
2016-07-31,KRW Curncy,KOTBEXPY Index,-3.0
2016-08-31,KRW Curncy,KOTBEXPY Index,-0.8
2016-09-30,KRW Curncy,KOTBEXPY Index,-17.2
2016-10-31,KRW Curncy,KOTBEXPY Index,0.8
2016-11-30,KRW Curncy,KOTBEXPY Index,-0.9
2016-12-31,KRW Curncy,KOTBEXPY Index,11.0
2017-01-31,KRW Curncy,KOTBEXPY Index,24.6
2017-02-28,KRW Curncy,KOTBEXPY Index,26.0
2017-03-31,KRW Curncy,KOTBEXPY Index,14.0
2017-04-30,KRW Curncy,KOTBEXPY Index,28.1
2017-05-31,KRW Curncy,KOTBEXPY Index,2.9
2017-06-30,KRW Curncy,KOTBEXPY Index,24.0
2017-07-31,KRW Curncy,KOTBEXPY Index,22.4
2017-08-31,KRW Curncy,KOTBEXPY Index,11.5
2017-09-30,KRW Curncy,KOTBEXPY Index,31.0
2017-10-31,KRW Curncy,KOTBEXPY Index,6.1
2017-11-30,KRW Curncy,KOTBEXPY Index,10.0
2017-12-31,KRW Curncy,KOTBEXPY Index,14.4
2018-01-31,KRW Curncy,KOTBEXPY Index,9.2
2018-02-28,KRW Curncy,KOTBEXPY Index,-4.6
2018-03-31,KRW Curncy,KOTBEXPY Index,8.6
2018-04-30,KRW Curncy,KOTBEXPY Index,8.3
2018-05-31,KRW Curncy,KOTBEXPY Index,14.9
2018-06-30,KRW Curncy,KOTBEXPY Index,-5.0
2018-07-31,KRW Curncy,KOTBEXPY Index,9.1
2018-08-31,KRW Curncy,KOTBEXPY Index,14.9
2018-09-30,KRW Curncy,KOTBEXPY Index,21.7
2018-10-31,KRW Curncy,KOTBEXPY Index,26.0
2018-11-30,KRW Curncy,KOTBEXPY Index,5.7
2018-12-31,KRW Curncy,KOTBEXPY Index,1.0
2019-01-31,KRW Curncy,KOTBEXPY Index,-14.5
2019-02-28,KRW Curncy,KOTBEXPY Index,-11.6
2019-03-31,KRW Curncy,KOTBEXPY Index,-5.3
2019-04-30,KRW Curncy,KOTBEXPY Index,-8.7
2019-05-31,KRW Curncy,KOTBEXPY Index,-12.4
2019-06-30,KRW Curncy,KOTBEXPY Index,-10.5
2019-07-31,KRW Curncy,KOTBEXPY Index,-13.8
2019-08-31,KRW Curncy,KOTBEXPY Index,-13.9
2019-09-30,KRW Curncy,KOTBEXPY Index,-21.9
2019-10-31,KRW Curncy,KOTBEXPY Index,-19.8
2019-11-30,KRW Curncy,KOTBEXPY Index,-9.8
2019-12-31,KRW Curncy,KOTBEXPY Index,-2.0
2020-01-31,KRW Curncy,KOTBEXPY Index,-0.7
2020-02-29,KRW Curncy,KOTBEXPY Index,11.7
2020-03-31,KRW Curncy,KOTBEXPY Index,7.9
2020-04-30,KRW Curncy,KOTBEXPY Index,-28.3
2020-05-31,KRW Curncy,KOTBEXPY Index,-20.4
2020-06-30,KRW Curncy,KOTBEXPY Index,-7.8
2020-07-31,KRW Curncy,KOTBEXPY Index,-13.1
2020-08-31,KRW Curncy,KOTBEXPY Index,-7.7
2020-09-30,KRW Curncy,KOTBEXPY Index,2.9
2020-10-31,KRW Curncy,KOTBEXPY Index,-6.1
2020-11-30,KRW Curncy,KOTBEXPY Index,11.0
2020-12-31,KRW Curncy,KOTBEXPY Index,1.0
2021-01-31,KRW Curncy,KOTBEXPY Index,10.5
2021-02-28,KRW Curncy,KOTBEXPY Index,16.4
2021-03-31,KRW Curncy,KOTBEXPY Index,12.4
2021-04-30,KRW Curncy,KOTBEXPY Index,45.6
2021-05-31,KRW Curncy,KOTBEXPY Index,53.2
2021-06-30,KRW Curncy,KOTBEXPY Index,29.6
2021-07-31,KRW Curncy,KOTBEXPY Index,32.5
2021-08-31,KRW Curncy,KOTBEXPY Index,40.8
2021-09-30,KRW Curncy,KOTBEXPY Index,22.8
2021-10-31,KRW Curncy,KOTBEXPY Index,36.4
2021-11-30,KRW Curncy,KOTBEXPY Index,27.5
2021-12-31,KRW Curncy,KOTBEXPY Index,19.9
2022-01-31,KRW Curncy,KOTBEXPY Index,22.0
2022-02-28,KRW Curncy,KOTBEXPY Index,12.8
2022-03-31,KRW Curncy,KOTBEXPY Index,10.0
2022-04-30,KRW Curncy,KOTBEXPY Index,17.2
2022-05-31,KRW Curncy,KOTBEXPY Index,23.9
2004-11-30,KRW Curncy,KOTBIMPY Index,28.6
2004-12-31,KRW Curncy,KOTBIMPY Index,14.7
2005-01-31,KRW Curncy,KOTBIMPY Index,9.1
2005-02-28,KRW Curncy,KOTBIMPY Index,0.7
2005-03-31,KRW Curncy,KOTBIMPY Index,13.9
2005-04-30,KRW Curncy,KOTBIMPY Index,17.3
2005-05-31,KRW Curncy,KOTBIMPY Index,22.8
2005-06-30,KRW Curncy,KOTBIMPY Index,18.3
2005-07-31,KRW Curncy,KOTBIMPY Index,25.1
2005-08-31,KRW Curncy,KOTBIMPY Index,26.3
2005-09-30,KRW Curncy,KOTBIMPY Index,11.1
2005-10-31,KRW Curncy,KOTBIMPY Index,14.8
2005-11-30,KRW Curncy,KOTBIMPY Index,19.1
2005-12-31,KRW Curncy,KOTBIMPY Index,22.3
2006-01-31,KRW Curncy,KOTBIMPY Index,34.1
2006-02-28,KRW Curncy,KOTBIMPY Index,31.7
2006-03-31,KRW Curncy,KOTBIMPY Index,18.1
2006-04-30,KRW Curncy,KOTBIMPY Index,17.9
2006-05-31,KRW Curncy,KOTBIMPY Index,27.4
2006-06-30,KRW Curncy,KOTBIMPY Index,24.3
2006-07-31,KRW Curncy,KOTBIMPY Index,14.5
2006-08-31,KRW Curncy,KOTBIMPY Index,12.0
2006-09-30,KRW Curncy,KOTBIMPY Index,28.4
2006-10-31,KRW Curncy,KOTBIMPY Index,9.2
2006-11-30,KRW Curncy,KOTBIMPY Index,10.8
2006-12-31,KRW Curncy,KOTBIMPY Index,14.1
2007-01-31,KRW Curncy,KOTBIMPY Index,8.1
2007-02-28,KRW Curncy,KOTBIMPY Index,6.6
2007-03-31,KRW Curncy,KOTBIMPY Index,13.0
2007-04-30,KRW Curncy,KOTBIMPY Index,20.6
2007-05-31,KRW Curncy,KOTBIMPY Index,14.4
2007-06-30,KRW Curncy,KOTBIMPY Index,22.7
2007-07-31,KRW Curncy,KOTBIMPY Index,19.8
2007-08-31,KRW Curncy,KOTBIMPY Index,10.5
2007-09-30,KRW Curncy,KOTBIMPY Index,9.8
2007-10-31,KRW Curncy,KOTBIMPY Index,28.3
2007-11-30,KRW Curncy,KOTBIMPY Index,27.6
2007-12-31,KRW Curncy,KOTBIMPY Index,24.9
2008-01-31,KRW Curncy,KOTBIMPY Index,22.5
2008-02-29,KRW Curncy,KOTBIMPY Index,25.4
2008-03-31,KRW Curncy,KOTBIMPY Index,40.7
2008-04-30,KRW Curncy,KOTBIMPY Index,25.0
2008-05-31,KRW Curncy,KOTBIMPY Index,19.3
2008-06-30,KRW Curncy,KOTBIMPY Index,25.7
2008-07-31,KRW Curncy,KOTBIMPY Index,36.8
2008-08-31,KRW Curncy,KOTBIMPY Index,47.8
2008-09-30,KRW Curncy,KOTBIMPY Index,46.6
2008-10-31,KRW Curncy,KOTBIMPY Index,10.8
2008-11-30,KRW Curncy,KOTBIMPY Index,-4.3
2008-12-31,KRW Curncy,KOTBIMPY Index,-16.7
2009-01-31,KRW Curncy,KOTBIMPY Index,-22.6
2009-02-28,KRW Curncy,KOTBIMPY Index,-22.8
2009-03-31,KRW Curncy,KOTBIMPY Index,-40.4
2009-04-30,KRW Curncy,KOTBIMPY Index,-39.6
2009-05-31,KRW Curncy,KOTBIMPY Index,-41.4
2009-06-30,KRW Curncy,KOTBIMPY Index,-35.1
2009-07-31,KRW Curncy,KOTBIMPY Index,-32.6
2009-08-31,KRW Curncy,KOTBIMPY Index,-32.5
2009-09-30,KRW Curncy,KOTBIMPY Index,-31.2
2009-10-31,KRW Curncy,KOTBIMPY Index,-17.0
2009-11-30,KRW Curncy,KOTBIMPY Index,0.0
2009-12-31,KRW Curncy,KOTBIMPY Index,23.5
2010-01-31,KRW Curncy,KOTBIMPY Index,26.0
2010-02-28,KRW Curncy,KOTBIMPY Index,40.8
2010-03-31,KRW Curncy,KOTBIMPY Index,56.3
2010-04-30,KRW Curncy,KOTBIMPY Index,55.6
2010-05-31,KRW Curncy,KOTBIMPY Index,69.5
2010-06-30,KRW Curncy,KOTBIMPY Index,26.9
2010-07-31,KRW Curncy,KOTBIMPY Index,27.5
2010-08-31,KRW Curncy,KOTBIMPY Index,36.1
2010-09-30,KRW Curncy,KOTBIMPY Index,30.1
2010-10-31,KRW Curncy,KOTBIMPY Index,28.0
2010-11-30,KRW Curncy,KOTBIMPY Index,30.4
2010-12-31,KRW Curncy,KOTBIMPY Index,18.0
2011-01-31,KRW Curncy,KOTBIMPY Index,27.2
2011-02-28,KRW Curncy,KOTBIMPY Index,5.1
2011-03-31,KRW Curncy,KOTBIMPY Index,18.6
2011-04-30,KRW Curncy,KOTBIMPY Index,22.5
2011-05-31,KRW Curncy,KOTBIMPY Index,27.4
2011-06-30,KRW Curncy,KOTBIMPY Index,36.4
2011-07-31,KRW Curncy,KOTBIMPY Index,27.9
2011-08-31,KRW Curncy,KOTBIMPY Index,20.0
2011-09-30,KRW Curncy,KOTBIMPY Index,15.4
2011-10-31,KRW Curncy,KOTBIMPY Index,6.3
2011-11-30,KRW Curncy,KOTBIMPY Index,1.6
2011-12-31,KRW Curncy,KOTBIMPY Index,7.3
2012-01-31,KRW Curncy,KOTBIMPY Index,17.6
2012-02-29,KRW Curncy,KOTBIMPY Index,24.1
2012-03-31,KRW Curncy,KOTBIMPY Index,3.5
2012-04-30,KRW Curncy,KOTBIMPY Index,8.8
2012-05-31,KRW Curncy,KOTBIMPY Index,-6.4
2012-06-30,KRW Curncy,KOTBIMPY Index,-8.2
2012-07-31,KRW Curncy,KOTBIMPY Index,-1.7
2012-08-31,KRW Curncy,KOTBIMPY Index,-11.4
2012-09-30,KRW Curncy,KOTBIMPY Index,-4.8
2012-10-31,KRW Curncy,KOTBIMPY Index,0.6
2012-11-30,KRW Curncy,KOTBIMPY Index,-2.2
2012-12-31,KRW Curncy,KOTBIMPY Index,-4.7
2013-01-31,KRW Curncy,KOTBIMPY Index,-13.3
2013-02-28,KRW Curncy,KOTBIMPY Index,-7.8
2013-03-31,KRW Curncy,KOTBIMPY Index,-0.4
2013-04-30,KRW Curncy,KOTBIMPY Index,-6.2
2013-05-31,KRW Curncy,KOTBIMPY Index,-9.3
2013-06-30,KRW Curncy,KOTBIMPY Index,-2.6
2013-07-31,KRW Curncy,KOTBIMPY Index,-7.5
2013-08-31,KRW Curncy,KOTBIMPY Index,-3.3
2013-09-30,KRW Curncy,KOTBIMPY Index,-3.9
2013-10-31,KRW Curncy,KOTBIMPY Index,1.7
2013-11-30,KRW Curncy,KOTBIMPY Index,6.5
2013-12-31,KRW Curncy,KOTBIMPY Index,10.9
2014-01-31,KRW Curncy,KOTBIMPY Index,5.1
2014-02-28,KRW Curncy,KOTBIMPY Index,2.1
2014-03-31,KRW Curncy,KOTBIMPY Index,1.7
2014-04-30,KRW Curncy,KOTBIMPY Index,-13.4
2014-05-31,KRW Curncy,KOTBIMPY Index,-2.8
2014-06-30,KRW Curncy,KOTBIMPY Index,11.3
2014-07-31,KRW Curncy,KOTBIMPY Index,7.8
2014-08-31,KRW Curncy,KOTBIMPY Index,6.0
2014-09-30,KRW Curncy,KOTBIMPY Index,9.5
2014-10-31,KRW Curncy,KOTBIMPY Index,-3.6
2014-11-30,KRW Curncy,KOTBIMPY Index,-3.8
2014-12-31,KRW Curncy,KOTBIMPY Index,-7.6
2015-01-31,KRW Curncy,KOTBIMPY Index,-11.0
2015-02-28,KRW Curncy,KOTBIMPY Index,-16.7
2015-03-31,KRW Curncy,KOTBIMPY Index,-10.3
2015-04-30,KRW Curncy,KOTBIMPY Index,-4.2
2015-05-31,KRW Curncy,KOTBIMPY Index,-9.6
2015-06-30,KRW Curncy,KOTBIMPY Index,-17.0
2015-07-31,KRW Curncy,KOTBIMPY Index,-15.8
2015-08-31,KRW Curncy,KOTBIMPY Index,-16.5
2015-09-30,KRW Curncy,KOTBIMPY Index,-20.4
2015-10-31,KRW Curncy,KOTBIMPY Index,-9.5
2015-11-30,KRW Curncy,KOTBIMPY Index,-13.0
2015-12-31,KRW Curncy,KOTBIMPY Index,-21.7
2016-01-31,KRW Curncy,KOTBIMPY Index,-18.1
2016-02-29,KRW Curncy,KOTBIMPY Index,-17.4
2016-03-31,KRW Curncy,KOTBIMPY Index,-23.0
2016-04-30,KRW Curncy,KOTBIMPY Index,-12.7
2016-05-31,KRW Curncy,KOTBIMPY Index,-8.2
2016-06-30,KRW Curncy,KOTBIMPY Index,-13.7
2016-07-31,KRW Curncy,KOTBIMPY Index,-7.3
2016-08-31,KRW Curncy,KOTBIMPY Index,-0.7
2016-09-30,KRW Curncy,KOTBIMPY Index,-12.5
2016-10-31,KRW Curncy,KOTBIMPY Index,-4.6
2016-11-30,KRW Curncy,KOTBIMPY Index,-3.1
2016-12-31,KRW Curncy,KOTBIMPY Index,9.4
2017-01-31,KRW Curncy,KOTBIMPY Index,25.9
2017-02-28,KRW Curncy,KOTBIMPY Index,26.0
2017-03-31,KRW Curncy,KOTBIMPY Index,29.4
2017-04-30,KRW Curncy,KOTBIMPY Index,16.4
2017-05-31,KRW Curncy,KOTBIMPY Index,11.7
2017-06-30,KRW Curncy,KOTBIMPY Index,20.7
2017-07-31,KRW Curncy,KOTBIMPY Index,13.3
2017-08-31,KRW Curncy,KOTBIMPY Index,11.2
2017-09-30,KRW Curncy,KOTBIMPY Index,23.9
2017-10-31,KRW Curncy,KOTBIMPY Index,3.1
2017-11-30,KRW Curncy,KOTBIMPY Index,14.0
2017-12-31,KRW Curncy,KOTBIMPY Index,19.5
2018-01-31,KRW Curncy,KOTBIMPY Index,14.1
2018-02-28,KRW Curncy,KOTBIMPY Index,13.6
2018-03-31,KRW Curncy,KOTBIMPY Index,5.8
2018-04-30,KRW Curncy,KOTBIMPY Index,20.8
2018-05-31,KRW Curncy,KOTBIMPY Index,10.7
2018-06-30,KRW Curncy,KOTBIMPY Index,13.0
2018-07-31,KRW Curncy,KOTBIMPY Index,21.6
2018-08-31,KRW Curncy,KOTBIMPY Index,6.0
2018-09-30,KRW Curncy,KOTBIMPY Index,14.6
2018-10-31,KRW Curncy,KOTBIMPY Index,31.4
2018-11-30,KRW Curncy,KOTBIMPY Index,12.8
2018-12-31,KRW Curncy,KOTBIMPY Index,2.2
2019-01-31,KRW Curncy,KOTBIMPY Index,-9.5
2019-02-28,KRW Curncy,KOTBIMPY Index,-16.8
2019-03-31,KRW Curncy,KOTBIMPY Index,-3.1
2019-04-30,KRW Curncy,KOTBIMPY Index,-0.4
2019-05-31,KRW Curncy,KOTBIMPY Index,-0.1
2019-06-30,KRW Curncy,KOTBIMPY Index,-8.0
2019-07-31,KRW Curncy,KOTBIMPY Index,-10.2
2019-08-31,KRW Curncy,KOTBIMPY Index,-2.2
2019-09-30,KRW Curncy,KOTBIMPY Index,-11.0
2019-10-31,KRW Curncy,KOTBIMPY Index,-20.1
2019-11-30,KRW Curncy,KOTBIMPY Index,-11.2
2019-12-31,KRW Curncy,KOTBIMPY Index,-0.4
2020-01-31,KRW Curncy,KOTBIMPY Index,3.2
2020-02-29,KRW Curncy,KOTBIMPY Index,4.3
2020-03-31,KRW Curncy,KOTBIMPY Index,3.3
2020-04-30,KRW Curncy,KOTBIMPY Index,-18.7
2020-05-31,KRW Curncy,KOTBIMPY Index,-16.4
2020-06-30,KRW Curncy,KOTBIMPY Index,-11.0
2020-07-31,KRW Curncy,KOTBIMPY Index,-12.9
2020-08-31,KRW Curncy,KOTBIMPY Index,-12.2
2020-09-30,KRW Curncy,KOTBIMPY Index,-6.4
2020-10-31,KRW Curncy,KOTBIMPY Index,-2.5
2020-11-30,KRW Curncy,KOTBIMPY Index,1.6
2020-12-31,KRW Curncy,KOTBIMPY Index,-7.6
2021-01-31,KRW Curncy,KOTBIMPY Index,2.8
2021-02-28,KRW Curncy,KOTBIMPY Index,25.1
2021-03-31,KRW Curncy,KOTBIMPY Index,16.4
2021-04-30,KRW Curncy,KOTBIMPY Index,31.5
2021-05-31,KRW Curncy,KOTBIMPY Index,36.4
2021-06-30,KRW Curncy,KOTBIMPY Index,29.4
2021-07-31,KRW Curncy,KOTBIMPY Index,44.6
2021-08-31,KRW Curncy,KOTBIMPY Index,52.1
2021-09-30,KRW Curncy,KOTBIMPY Index,38.7
2021-10-31,KRW Curncy,KOTBIMPY Index,47.9
2021-11-30,KRW Curncy,KOTBIMPY Index,41.8
2021-12-31,KRW Curncy,KOTBIMPY Index,41.2
2022-01-31,KRW Curncy,KOTBIMPY Index,37.9
2022-02-28,KRW Curncy,KOTBIMPY Index,12.8
2022-03-31,KRW Curncy,KOTBIMPY Index,18.7
2022-04-30,KRW Curncy,KOTBIMPY Index,25.5
2022-05-31,KRW Curncy,KOTBIMPY Index,37.7
2000-01-31,KRW Curncy,KOEXTOTY Index,31.4
2000-02-29,KRW Curncy,KOEXTOTY Index,35.8
2000-03-31,KRW Curncy,KOEXTOTY Index,23.8
2000-04-30,KRW Curncy,KOEXTOTY Index,17.6
2000-05-31,KRW Curncy,KOEXTOTY Index,28.1
2000-06-30,KRW Curncy,KOEXTOTY Index,19.0
2000-07-31,KRW Curncy,KOEXTOTY Index,23.0
2000-08-31,KRW Curncy,KOEXTOTY Index,30.1
2000-09-30,KRW Curncy,KOEXTOTY Index,26.5
2000-10-31,KRW Curncy,KOEXTOTY Index,13.4
2000-11-30,KRW Curncy,KOEXTOTY Index,5.6
2000-12-31,KRW Curncy,KOEXTOTY Index,0.1
2001-01-31,KRW Curncy,KOEXTOTY Index,4.0
2001-02-28,KRW Curncy,KOEXTOTY Index,5.3
2001-03-31,KRW Curncy,KOEXTOTY Index,-2.1
2001-04-30,KRW Curncy,KOEXTOTY Index,-10.4
2001-05-31,KRW Curncy,KOEXTOTY Index,-9.1
2001-06-30,KRW Curncy,KOEXTOTY Index,-15.2
2001-07-31,KRW Curncy,KOEXTOTY Index,-21.2
2001-08-31,KRW Curncy,KOEXTOTY Index,-20.4
2001-09-30,KRW Curncy,KOEXTOTY Index,-17.7
2001-10-31,KRW Curncy,KOEXTOTY Index,-20.7
2001-11-30,KRW Curncy,KOEXTOTY Index,-17.6
2001-12-31,KRW Curncy,KOEXTOTY Index,-20.4
2002-01-31,KRW Curncy,KOEXTOTY Index,-10.0
2002-02-28,KRW Curncy,KOEXTOTY Index,-17.5
2002-03-31,KRW Curncy,KOEXTOTY Index,-6.2
2002-04-30,KRW Curncy,KOEXTOTY Index,8.8
2002-05-31,KRW Curncy,KOEXTOTY Index,6.5
2002-06-30,KRW Curncy,KOEXTOTY Index,-0.3
2002-07-31,KRW Curncy,KOEXTOTY Index,17.6
2002-08-31,KRW Curncy,KOEXTOTY Index,18.6
2002-09-30,KRW Curncy,KOEXTOTY Index,11.7
2002-10-31,KRW Curncy,KOEXTOTY Index,24.8
2002-11-30,KRW Curncy,KOEXTOTY Index,23.1
2002-12-31,KRW Curncy,KOEXTOTY Index,26.1
2003-01-31,KRW Curncy,KOEXTOTY Index,25.8
2003-02-28,KRW Curncy,KOEXTOTY Index,21.0
