date,currency,field,value
2004-11-30,KRW Curncy,KOTBEXPY Index,30.6
2004-12-31,KRW Curncy,KOTBEXPY Index,10.6
2005-01-31,KRW Curncy,KOTBEXPY Index,-6.4
2005-02-28,KRW Curncy,KOTBEXPY Index,-4.7
2005-03-31,KRW Curncy,KOTBEXPY Index,4.1
2005-04-30,KRW Curncy,KOTBEXPY Index,6.7
2005-05-31,KRW Curncy,KOTBEXPY Index,16.7
2005-06-30,KRW Curncy,KOTBEXPY Index,8.8
2005-07-31,KRW Curncy,KOTBEXPY Index,18.4
2005-08-31,KRW Curncy,KOTBEXPY Index,16.3
2005-09-30,KRW Curncy,KOTBEXPY Index,7.9
2005-10-31,KRW Curncy,KOTBEXPY Index,12.7
2005-11-30,KRW Curncy,KOTBEXPY Index,9.1
2005-12-31,KRW Curncy,KOTBEXPY Index,10.1
2006-01-31,KRW Curncy,KOTBEXPY Index,19.8
2006-02-28,KRW Curncy,KOTBEXPY Index,20.6
2006-03-31,KRW Curncy,KOTBEXPY Index,12.7
2006-04-30,KRW Curncy,KOTBEXPY Index,21.3
2006-05-31,KRW Curncy,KOTBEXPY Index,21.3
2006-06-30,KRW Curncy,KOTBEXPY Index,20.4
2006-07-31,KRW Curncy,KOTBEXPY Index,10.4
2006-08-31,KRW Curncy,KOTBEXPY Index,9.4
2006-09-30,KRW Curncy,KOTBEXPY Index,25.0
2006-10-31,KRW Curncy,KOTBEXPY Index,12.2
2006-11-30,KRW Curncy,KOTBEXPY Index,14.9
2006-12-31,KRW Curncy,KOTBEXPY Index,14.6
2007-01-31,KRW Curncy,KOTBEXPY Index,8.7
2007-02-28,KRW Curncy,KOTBEXPY Index,12.5
2007-03-31,KRW Curncy,KOTBEXPY Index,15.1
2007-04-30,KRW Curncy,KOTBEXPY Index,19.0
2007-05-31,KRW Curncy,KOTBEXPY Index,12.7
2007-06-30,KRW Curncy,KOTBEXPY Index,34.6
2007-07-31,KRW Curncy,KOTBEXPY Index,29.6
2007-08-31,KRW Curncy,KOTBEXPY Index,14.2
2007-09-30,KRW Curncy,KOTBEXPY Index,18.4
2007-10-31,KRW Curncy,KOTBEXPY Index,28.1
2007-11-30,KRW Curncy,KOTBEXPY Index,17.5
2007-12-31,KRW Curncy,KOTBEXPY Index,20.5
2008-01-31,KRW Curncy,KOTBEXPY Index,8.8
2008-02-29,KRW Curncy,KOTBEXPY Index,8.9
2008-03-31,KRW Curncy,KOTBEXPY Index,25.1
2008-04-30,KRW Curncy,KOTBEXPY Index,14.4
2008-05-31,KRW Curncy,KOTBEXPY Index,8.1
2008-06-30,KRW Curncy,KOTBEXPY Index,1.9
2008-07-31,KRW Curncy,KOTBEXPY Index,23.4
2008-08-31,KRW Curncy,KOTBEXPY Index,33.9
2008-09-30,KRW Curncy,KOTBEXPY Index,12.2
2008-10-31,KRW Curncy,KOTBEXPY Index,4.9
2008-11-30,KRW Curncy,KOTBEXPY Index,-14.7
2008-12-31,KRW Curncy,KOTBEXPY Index,-25.6
2009-01-31,KRW Curncy,KOTBEXPY Index,-30.4
2009-02-28,KRW Curncy,KOTBEXPY Index,0.4
2009-03-31,KRW Curncy,KOTBEXPY Index,-14.6
2009-04-30,KRW Curncy,KOTBEXPY Index,-17.1
2009-05-31,KRW Curncy,KOTBEXPY Index,-22.5
2009-06-30,KRW Curncy,KOTBEXPY Index,-13.7
2009-07-31,KRW Curncy,KOTBEXPY Index,-24.7
2009-08-31,KRW Curncy,KOTBEXPY Index,-24.6
2009-09-30,KRW Curncy,KOTBEXPY Index,-12.2
2009-10-31,KRW Curncy,KOTBEXPY Index,-17.4
2009-11-30,KRW Curncy,KOTBEXPY Index,26.4
2009-12-31,KRW Curncy,KOTBEXPY Index,31.7
2010-01-31,KRW Curncy,KOTBEXPY Index,44.8
2010-02-28,KRW Curncy,KOTBEXPY Index,18.3
2010-03-31,KRW Curncy,KOTBEXPY Index,22.2
2010-04-30,KRW Curncy,KOTBEXPY Index,31.6
2010-05-31,KRW Curncy,KOTBEXPY Index,56.8
2010-06-30,KRW Curncy,KOTBEXPY Index,24.5
2010-07-31,KRW Curncy,KOTBEXPY Index,34.3
2010-08-31,KRW Curncy,KOTBEXPY Index,36.4
2010-09-30,KRW Curncy,KOTBEXPY Index,43.9
2010-10-31,KRW Curncy,KOTBEXPY Index,44.0
2010-11-30,KRW Curncy,KOTBEXPY Index,23.1
2010-12-31,KRW Curncy,KOTBEXPY Index,27.7
2011-01-31,KRW Curncy,KOTBEXPY Index,53.4
