"","date","SGD","KRW","MYR","CNY","THB","IDR","TWD","INR","JPY","AUD","GBP","EUR","residual","ub","lb","fitted"
"1",2012-01-06,1.2943,1159.65,3.1508,6.3094,31.605,9096,30.233,52.6705,76.97,0.9777,0.6482,0.7862,0.257330067621438,0.591048517420087,-0.591048517420087,-0.978214928500527
"2",2012-01-13,1.2928,1150.48,3.1393,6.3065,31.755,9213,29.975,51.6263,76.97,0.9688,0.6528,0.7888,0.164694627290163,0.582456596962224,-0.582456596962224,-0.912275833577786
"3",2012-01-20,1.2719,1131.22,3.0958,6.3362,31.565,8900,29.955,50.21,77.01,0.9538,0.642,0.7732,-0.107984666972097,0.573826634545585,-0.573826634545585,-1.01156561867441
"4",2012-01-27,1.2514,1120.67,3.0317,6.3138,31.21,8951,29.955,49.3698,76.7,0.9382,0.6358,0.7563,-0.333855376692197,0.568060113285344,-0.568060113285344,-1.15054496287091
"5",2012-02-03,1.2418,1113.92,3.0048,6.3029,30.88,8953,29.53,48.5225,76.6,0.9285,0.6323,0.76,-0.46520393852831,0.561171701028838,-0.561171701028838,-1.19005301164941
"6",2012-02-10,1.2615,1127.58,3.0328,6.2998,30.827,9000,29.527,49.665,77.61,0.9369,0.6348,0.7577,-0.0711234715968128,0.552268854232958,-0.552268854232958,-1.23352147554885
"7",2012-02-17,1.2588,1126.07,3.0298,6.2991,30.79,9014,29.558,49.206,79.55,0.9341,0.6318,0.7609,-0.105494029563193,0.541527986147065,-0.541527986147065,-1.24720433931783
"8",2012-02-24,1.2557,1125.88,3.0145,6.2976,30.36,9083,29.577,49.016,81.2,0.9351,0.63,0.7435,-0.0681491499639085,0.533908912064786,-0.533908912064786,-1.33972166609474
"9",2012-03-02,1.2522,1116.27,3.002,6.2984,30.593,9082,29.434,49.54,81.81,0.9318,0.6316,0.7575,-0.0828399833426097,0.524803910370321,-0.524803910370321,-1.38732230533595
"10",2012-03-09,1.2544,1117.73,3.004,6.3113,30.608,9125,29.49,49.6575,82.46,0.9455,0.638,0.7621,-0.126299331734982,0.515326274641283,-0.515326274641283,-1.30470831701106
"11",2012-03-16,1.2575,1122.13,3.0495,6.3229,30.73,9195,29.549,50.1613,83.43,0.9443,0.6311,0.759,-0.0321843436652891,0.503877613363243,-0.503877613363243,-1.34365085790312
"12",2012-03-23,1.261,1135.88,3.0722,6.3076,30.78,9197,29.576,51.3513,82.35,0.9554,0.6301,0.7537,0.0269496115126272,0.492624997489429,-0.492624997489429,-1.34049334046113
"13",2012-03-30,1.2577,1131.28,3.0593,6.299,30.84,9188,29.515,50.6988,82.87,0.9666,0.6246,0.7495,-0.133962558324685,0.47688835672034,-0.47688835672034,-1.23831313052259
"14",2012-04-06,1.2607,1133.76,3.0682,6.3058,30.99,9180,29.531,51.2435,81.64,0.9702,0.6299,0.7637,-0.126001802784884,0.462592350855937,-0.462592350855937,-1.19288119524533
