"","date","SGD","KRW","MYR","CNY","THB","IDR","TWD","INR","JPY","AUD","GBP","EUR","residual","ub","lb","fitted"
"1",2002-01-11,1.8415,1310.5,3.7995,8.2769,43.98,10430,34.978,48.415,132.22,1.9233,0.6907,1.1206,0.294732331762703,0.191903535576733,-0.191903535576733,1.88140564825548
"2",2002-01-18,1.8343,1318,3.8005,8.2767,43.96,10390,34.967,48.245,132.57,1.9436,0.6953,1.1302,0.231337009188969,0.194233257696931,-0.194233257696931,1.90406087866523
"3",2002-01-25,1.8334,1327.5,3.7995,8.2765,44.07,10435,34.978,48.355,134.47,1.9352,0.7101,1.1561,0.262445385055396,0.196300017816507,-0.196300017816507,1.8678599912783
"4",2002-02-01,1.8333,1315.5,3.8005,8.2766,44.03,10330,34.889,48.525,133.07,1.9625,0.7061,1.1604,0.210558727231217,0.198103694726135,-0.198103694726135,1.91918081448909
"5",2002-02-08,1.8331,1320.5,3.8005,8.2767,43.905,10250,34.994,48.705,134.71,1.9564,0.7067,1.1465,0.246572961584721,0.200460895792702,-0.200460895792702,1.88203491090881
"6",2002-02-15,1.8246,1311.5,3.8005,8.2768,43.6,10245,35.005,48.675,132.61,1.9326,0.6988,1.145,0.222421651888035,0.202075852590115,-0.202075852590115,1.85809027846745
"7",2002-02-22,1.8322,1321.5,3.7995,8.2765,43.905,10210,35.108,48.755,134.15,1.9503,0.698,1.1422,0.234000311251442,0.204084369910197,-0.204084369910197,1.88951504972159
"8",2002-03-01,1.8324,1321,3.7995,8.2765,43.705,10100,35.065,48.725,133.46,1.9259,0.7051,1.1554,0.282186472180008,0.206525087223675,-0.206525087223675,1.8424605580198
"9",2002-03-08,1.8218,1314.3,3.7995,8.2771,43.365,10015,34.934,48.725,128.65,1.9119,0.7027,1.143,0.227856540142062,0.208701920817403,-0.208701920817403,1.83681202103854
"10",2002-03-15,1.8213,1319.1,3.8005,8.2775,43.24,9995,34.95,48.725,129,1.9002,0.702,1.1328,0.254595978531166,0.210978176659738,-0.210978176659738,1.80724340958249
"11",2002-03-22,1.8337,1328.4,3.8005,8.277,43.395,9825,35.027,48.77,132.88,1.8848,0.7014,1.1391,0.363224874623213,0.215145950816765,-0.215145950816765,1.76877800555065
"12",2002-03-29,1.8432,1327,3.8005,8.2774,43.5,9825,34.95,48.815,132.73,1.8771,0.7011,1.1472,0.418018166445668,0.220718442545736,-0.220718442545736,1.76773900200012
"13",2002-04-05,1.8355,1330.5,3.7995,8.277,43.55,9550,34.99,48.84,131.58,1.8848,0.6983,1.1386,0.349422182884547,0.224680623801433,-0.224680623801433,1.79276572033031
"14",2002-04-12,1.8346,1329.5,3.7995,8.2772,43.535,9550,34.997,48.905,131.96,1.8714,0.6958,1.1371,0.364590391050785,0.228915181158367,-0.228915181158367,1.77250500064358
"15",2002-04-19,1.8211,1312.1,3.8005,8.2775,43.295,9352,34.877,48.885,130.36,1.8508,0.6904,1.1203,0.314617427503513,0.232123937483893,-0.232123937483893,1.74609029138337
"16",2002-04-26,1.8041,1297.65,3.8005,8.2773,43.22,9305,34.764,48.97,127.87,1.8384,0.6858,1.1088,0.218859361263664,0.233903730630874,-0.233903730630874,1.74565647334713
"17",2002-05-03,1.8044,1283.8,3.8,8.2773,43.005,9310,34.581,48.98,127.01,1.8537,0.6808,1.0902,0.207279493335578,0.235308400983622,-0.235308400983622,1.75893384511538
"18",2002-05-10,1.8032,1280,3.8005,8.2771,42.875,9285,34.563,48.965,127.59,1.835,0.683,1.0941,0.240500981120451,0.237198338794255,-0.237198338794255,1.71892234196984
"19",2002-05-17,1.7961,1261.6,3.8005,8.2769,42.6,9090,34.446,48.985,125.98,1.8098,0.6859,1.0866,0.24533856511436,0.239181368286205,-0.239181368286205,1.67391050042533
"20",2002-05-24,1.7986,1243.5,3.7995,8.2771,42.845,8945,34.298,48.995,124.73,1.796,0.6858,1.086,0.250579257618802,0.241097610750365,-0.241097610750365,1.68281567325561
"21",2002-05-31,1.7879,1221.5,3.7995,8.2765,42.34,8830,33.972,49.045,124.22,1.7626,0.6871,1.0704,0.275167199948739,0.243325066841135,-0.243325066841135,1.59768342729308
"22",2002-06-07,1.7926,1228,3.8005,8.277,42.385,8875,34.152,49.0185,124.33,1.7499,0.6851,1.0599,0.314793177904678,0.246028825649667,-0.246028825649667,1.58465167616641
"23",2002-06-14,1.7886,1236.1,3.7995,8.2769,42.175,8660,34.102,48.995,124.13,1.7849,0.677,1.057,0.247377876819602,0.247465443244222,-0.247465443244222,1.62943359271594
"24",2002-06-21,1.7734,1219.45,3.8005,8.2771,42.03,8630,33.851,48.92,121.11,1.7411,0.6679,1.03,0.202504020481418,0.248486937569678,-0.248486937569678,1.58830058781903
"25",2002-06-28,1.7672,1201.25,3.8005,8.2771,41.51,8713,33.542,48.885,119.47,1.7776,0.6521,1.0086,0.126213987980524,0.248919504774912,-0.248919504774912,1.62950887428982
"26",2002-07-05,1.7715,1197.5,3.7995,8.2766,41.645,8860,33.414,48.815,120.43,1.7936,0.6569,1.0281,0.129119303811116,0.249318162036705,-0.249318162036705,1.65093444683495
"27",2002-07-12,1.745,1182.7,3.8005,8.2767,41.075,9075,33.278,48.8,116.88,1.7897,0.6437,1.0087,-0.0165081634036939,0.249151440286354,-0.249151440286354,1.64661574150174
"28",2002-07-19,1.733,1170.6,3.7995,8.2769,40.445,8775,33.013,48.74,115.88,1.7971,0.6344,0.9885,-0.0665120148692243,0.248981377419285,-0.248981377419285,1.62871943936062
"29",2002-07-26,1.7623,1190.45,3.7995,8.2768,42.025,9150,33.665,48.67,118.8,1.8652,0.6387,1.0137,-0.0880326759453676,0.248992587425848,-0.248992587425848,1.81602964215967
"30",2002-08-02,1.7497,1184.5,3.7995,8.2768,42.125,9070,33.672,48.655,118.85,1.8551,0.6369,1.0135,-0.15648144710905,0.249118087996115,-0.249118087996115,1.81318325203637
"31",2002-08-09,1.7635,1202,3.8005,8.2766,42.355,8970,33.91,48.645,120.16,1.8669,0.6561,1.0308,-0.0804421416155431,0.248775230148272,-0.248775230148272,1.81522912319051
"32",2002-08-16,1.7467,1188.95,3.8001,8.2768,41.78,8815,33.882,48.57,117.65,1.8313,0.6498,1.0155,-0.115267014764928,0.248738090162615,-0.248738090162615,1.75499378129058
"33",2002-08-23,1.7553,1202.55,3.7995,8.2767,42.285,8888,34.122,48.53,119.65,1.8413,0.6576,1.0276,-0.0936813772956719,0.248514712797711,-0.248514712797711,1.78206992057276
"34",2002-08-30,1.7498,1201.95,3.7995,8.2768,42.19,8855,34.24,48.51,118.46,1.8154,0.6452,1.018,-0.109273832711904,0.248319345939136,-0.248319345939136,1.76654147225261
"35",2002-09-06,1.7499,1196.5,3.7995,8.2772,42.275,8865,34.066,48.56,118.54,1.8257,0.6409,1.0184,-0.131401889208074,0.248016393929376,-0.248016393929376,1.78923536336217
"36",2002-09-13,1.7734,1203.85,3.8,8.2767,42.875,8975,34.395,48.44,121.7,1.8167,0.6446,1.029,-0.00654751938791389,0.247558763995207,-0.247558763995207,1.79735212768836
"37",2002-09-20,1.7786,1209.4,3.8005,8.2769,43.35,9033,34.771,48.415,123.4,1.832,0.6433,1.0177,-0.0215289549714678,0.246730867201161,-0.246730867201161,1.84175696316813
"38",2002-09-27,1.7793,1227.95,3.7995,8.2763,43.385,9018,34.92,48.37,122.52,1.8398,0.6407,1.0197,-0.041220462367362,0.245545071118351,-0.245545071118351,1.86540931285775
"39",2002-10-04,1.7829,1230.5,3.7995,8.277,43.515,9020,34.959,48.36,123.29,1.8287,0.6387,1.0217,-0.0125485991889708,0.24440638656432,-0.24440638656432,1.85710749576135
"40",2002-10-11,1.7937,1259.3,3.7995,8.2769,43.875,9007,35.166,48.33,124.05,1.8193,0.6402,1.0127,0.0490196003472355,0.242593918585818,-0.242593918585818,1.85664943447113
"41",2002-10-18,1.7913,1246.9,3.8005,8.2767,43.755,9214,34.919,48.4,125.51,1.8182,0.6468,1.0294,0.0649240456334388,0.240589746344406,-0.240589746344406,1.8271649584636
