"","date","SNEER","KRW","MYR","CNY","THB","IDR","TWD","INR","JPY","EUR","AUD","GBP","SGD"
"2000-01-07",2000-01-07,100.05,1137.5,3.7995,8.2794,37.265,7165,30.848,43.55,105.34,1.0295,0.6549,1.6393,1.6613
"2000-01-14",2000-01-14,99.78,1117.71,3.7995,8.2797,37.455,7123,30.847,43.53,105.87,1.0122,0.6657,1.6313,1.6748
"2000-01-21",2000-01-21,99.48,1127.5,3.8,8.2795,37.22,7335,30.82,43.572,104.78,1.0098,0.6629,1.6487,1.68
"2000-01-28",2000-01-28,98.84,1123.93,3.7995,8.2781,37.625,7475,30.706,43.64,107.13,0.9747,0.635,1.6201,1.711
"2000-02-04",2000-02-04,99.23,1129.5,3.7995,8.2788,37.55,7563,30.775,43.63,107.19,0.9832,0.638,1.5918,1.693
"2000-02-11",2000-02-11,99.23,1121.43,3.7995,8.2788,37.425,7335,30.617,43.66,108.82,0.9875,0.6305,1.5936,1.6936
"2000-02-18",2000-02-18,99.03,1129.5,3.7995,8.2772,38.105,7435,30.715,43.64,111.09,0.9839,0.6293,1.6013,1.707
"2000-02-25",2000-02-25,98.77,1136.5,3.8,8.2786,37.825,7350,30.76,43.6195,110.29,0.9749,0.6151,1.5953,1.7087
"2000-03-03",2000-03-03,98.36,1124.43,3.7995,8.2789,38.005,7465,30.745,43.605,107.9,0.9586,0.6084,1.5778,1.725
"2000-03-10",2000-03-10,98.43,1123.43,3.7995,8.2785,37.825,7355,30.738,43.605,106.35,0.9637,0.6151,1.5765,1.7041
"2000-03-17",2000-03-17,98.52,1117.25,3.8,8.278,37.96,7435,30.69,43.56,106.73,0.9721,0.6067,1.5748,1.718
"2000-03-24",2000-03-24,98.35,1117.93,3.7995,8.2789,37.735,7453,30.666,43.62,106.87,0.9779,0.6086,1.5941,1.7162
"2000-03-31",2000-03-31,98.24,1116.43,3.7995,8.2787,37.835,7580,30.43,43.62,102.78,0.9555,0.6071,1.5911,1.7117
"2000-04-07",2000-04-07,98.43,1107.1,3.7995,8.2795,37.985,7665,30.46,43.65,105.37,0.9553,0.5986,1.5795,1.7157
"2000-04-14",2000-04-14,98.44,1111.1,3.7997,8.2794,37.877,7605,30.4,43.662,104.74,0.9622,0.5976,1.5868,1.7077
"2000-04-21",2000-04-21,99.48,1108.45,3.7998,8.2785,37.928,7995,30.527,43.642,105.77,0.9385,0.5944,1.5795,1.6979
"2000-04-28",2000-04-28,99.83,1109.75,3.8,8.2799,38.075,7925,30.621,43.67,108.18,0.9119,0.5839,1.5513,1.707
"2000-05-05",2000-05-05,99.59,1111.15,3.8,8.2799,38.51,7970,30.646,43.6425,108.56,0.897,0.5965,1.5303,1.7229
"2000-05-12",2000-05-12,99.62,1114.5,3.7995,8.2778,38.895,8455,30.7,43.95,108.47,0.9197,0.5811,1.5202,1.7283
"2000-05-19",2000-05-19,99.72,1122.7,3.7995,8.2768,38.925,8360,30.74,43.98,106.98,0.8975,0.5742,1.487,1.725
"2000-05-26",2000-05-26,99.52,1136,3.7995,8.2771,39.18,8515,30.815,44.4,107.15,0.9309,0.5736,1.49,1.7341
"2000-06-02",2000-06-02,99.33,1125.1,3.7995,8.2771,38.89,8315,30.832,44.64,108.03,0.9463,0.5798,1.5098,1.7235
"2000-06-09",2000-06-09,99.35,1115,3.7995,8.2772,39.075,8625,30.791,44.765,106.91,0.9536,0.5881,1.5096,1.7223
"2000-06-16",2000-06-16,99.18,1116.3,3.7995,8.2768,39.135,8600,30.853,44.7,106.41,0.965,0.6063,1.5153,1.7265
"2000-06-23",2000-06-23,98.64,1119.25,3.7995,8.2769,39.075,8675,30.767,44.68,104.75,0.9359,0.5946,1.5011,1.7325
"2000-06-30",2000-06-30,98.74,1115.03,3.7995,8.2782,39.175,8760,30.8,44.675,106.12,0.9525,0.5974,1.5141,1.7284
"2000-07-07",2000-07-07,99.04,1118.5,3.7995,8.2793,39.725,9313,30.84,44.72,107.91,0.9484,0.5919,1.5139,1.7373
"2000-07-14",2000-07-14,99.08,1112.8,3.7995,8.2796,40.015,9500,30.88,44.7,107.72,0.9385,0.5844,1.5006,1.7433
"2000-07-21",2000-07-21,98.98,1112.8,3.7995,8.2795,40.425,8925,31.023,44.75,108.92,0.9369,0.5856,1.517,1.7475
"2000-07-28",2000-07-28,99.3,1116.75,3.7995,8.2794,41.415,8900,31.02,44.87,109.59,0.923,0.588,1.5027,1.7348
"2000-08-04",2000-08-04,100.2,1116,3.8,8.2798,40.65,8625,31.1,45.48,108.65,0.9083,0.5866,1.5065,1.721
"2000-08-11",2000-08-11,100.53,1115.5,3.7995,8.2796,40.675,8325,31.09,45.8,108.53,0.9026,0.5783,1.5015,1.7129
"2000-08-18",2000-08-18,100.49,1115.25,3.8,8.2797,41.025,8345,31.088,45.765,108.41,0.9064,0.5908,1.4895,1.7182
"2000-08-25",2000-08-25,100.57,1114.15,3.7995,8.2799,40.825,8335,31.073,45.86,106.86,0.9021,0.5743,1.4692,1.7205
"2000-09-01",2000-09-01,100.51,1105.38,3.7995,8.2787,40.905,8275,31.08,45.765,106,0.8997,0.5765,1.4642,1.7209
"2000-09-08",2000-09-08,100.27,1109,3.8005,8.2794,41.605,8390,31.09,45.645,106.12,0.8672,0.556,1.4151,1.7362
"2000-09-15",2000-09-15,100.31,1119.85,3.8,8.2771,41.965,8745,31.17,45.8,107.12,0.8543,0.5443,1.3977,1.7439
