"","date","SNEER","KRW","MYR","CNY","THB","IDR","TWD","INR","JPY","EUR","AUD","GBP","SGD"
"2000-09-22",2000-09-22,100.45,1134.5,3.8,8.2787,42.76,8765,31.298,46.2,107.92,0.8766,0.5443,1.4537,1.7485
"2000-09-29",2000-09-29,100.21,1115.15,3.8005,8.2798,42.14,8775,31.33,46.04,108.14,0.8828,0.5428,1.4754,1.7394
"2000-10-06",2000-10-06,100.37,1117.75,3.8005,8.279,42.545,8790,31.298,46.095,108.81,0.8684,0.5338,1.4459,1.7488
"2000-10-13",2000-10-13,100.28,1130.5,3.7995,8.2784,43.455,8908,31.788,46.365,107.83,0.856,0.5285,1.4498,1.7533
"2000-10-20",2000-10-20,100.79,1130.5,3.8005,8.2778,43.675,8950,32.147,46.355,108.85,0.8421,0.5291,1.4512,1.7555
"2000-10-27",2000-10-27,101.1,1136,3.8,8.2788,43.755,9130,32.267,46.725,108.65,0.8393,0.5235,1.455,1.7555
"2000-11-03",2000-11-03,101.5,1132,3.8,8.2768,43.445,9135,32.2,46.59,107.08,0.8666,0.5263,1.4485,1.7308
"2000-11-10",2000-11-10,101.74,1135.5,3.8,8.2772,43.68,9230,32.068,46.73,107.87,0.8596,0.5194,1.4254,1.7429
"2000-11-17",2000-11-17,101.53,1143,3.8,8.2769,44.15,9480,32.242,46.7735,108.77,0.8478,0.5188,1.4227,1.7536
"2000-11-24",2000-11-24,101.61,1189.5,3.8,8.2779,43.765,9420,32.875,46.83,111.28,0.838,0.5235,1.3994,1.7593
"2000-12-01",2000-12-01,101.62,1209.5,3.8,8.2775,43.725,9520,33.04,46.86,111.29,0.8799,0.5382,1.4423,1.749
"2000-12-08",2000-12-08,101.87,1190.5,3.8,8.2769,43.655,9545,33.024,46.765,111.04,0.8888,0.5488,1.4518,1.736
"2000-12-15",2000-12-15,102.24,1207.5,3.8,8.2768,43.425,9355,33.08,46.77,112.58,0.8966,0.5456,1.4757,1.7338
"2000-12-22",2000-12-22,102.07,1237.15,3.8,8.2777,42.05,9288,33.184,46.665,112.88,0.9232,0.5565,1.4765,1.7255
"2000-12-29",2000-12-29,102.31,1265,3.8,8.2774,43.385,9675,33.082,46.675,114.41,0.9427,0.5588,1.493,1.7345
"2001-01-05",2001-01-05,101.94,1264.5,3.8001,8.2775,43.235,9500,32.868,46.715,116.53,0.957,0.5719,1.5038,1.7283
"2001-01-12",2001-01-12,102.14,1278,3.7995,8.2768,43.355,9600,32.703,46.55,118.55,0.9513,0.5573,1.4786,1.7328
"2001-01-19",2001-01-19,102.28,1276.9,3.7995,8.2764,43.025,9450,32.585,46.375,117.18,0.9342,0.5563,1.4628,1.7373
"2001-01-26",2001-01-26,101.81,1280.8,3.7995,8.2786,42.81,9450,32.55,46.475,117.18,0.9244,0.5442,1.4554,1.7494
"2001-02-02",2001-02-02,101.58,1248.5,3.8005,8.2774,42.365,9550,32.311,46.41,115.75,0.9364,0.553,1.4707,1.738
"2001-02-09",2001-02-09,101.58,1264,3.7995,8.2764,42.575,9550,32.278,46.475,117.5,0.9242,0.5365,1.4446,1.746
"2001-02-16",2001-02-16,101.79,1243,3.8005,8.277,42.475,9600,32.274,46.535,115.73,0.915,0.5288,1.4483,1.7385
"2001-02-23",2001-02-23,102.16,1247.5,3.7995,8.2774,43.05,9638,32.357,46.605,115.8,0.9176,0.5265,1.455,1.7445
"2001-03-02",2001-03-02,102.16,1272,3.8005,8.2782,43.375,9875,32.363,46.55,119.01,0.9358,0.5303,1.4681,1.7491
"2001-03-09",2001-03-09,101.76,1269.3,3.7995,8.2774,43.575,10155,32.406,46.54,119.53,0.9328,0.5089,1.4698,1.7561
"2001-03-16",2001-03-16,102.02,1291,3.7995,8.2771,44.045,10300,32.691,46.705,123.03,0.8978,0.4943,1.4318,1.7765
"2001-03-23",2001-03-23,101.94,1309.5,3.7995,8.2773,44.195,10413,32.775,46.695,122.76,0.8899,0.4964,1.425,1.7847
"2001-03-30",2001-03-30,101.2,1331.5,3.8005,8.2777,45.025,10425,32.843,46.615,126.34,0.8767,0.4856,1.4161,1.8044
"2001-04-06",2001-04-06,100.71,1342.5,3.8005,8.2767,45.5,10900,32.922,46.555,123.77,0.9042,0.4985,1.44,1.813
"2001-04-13",2001-04-13,100.72,1316.05,3.7995,8.2772,45.325,10613,32.9,46.845,124.2,0.8882,0.5078,1.4389,1.805
"2001-04-20",2001-04-20,100.93,1313,3.7995,8.2775,45.65,11775,32.885,46.825,122.54,0.9022,0.515,1.4412,1.8137
"2001-04-27",2001-04-27,100.73,1327,3.7995,8.2773,45.675,11875,32.928,46.85,124,0.8918,0.5097,1.4367,1.8188
"2001-05-04",2001-05-04,100.07,1291.9,3.7995,8.2774,45.655,10950,32.845,46.825,121.35,0.8925,0.5191,1.4393,1.8238
"2001-05-11",2001-05-11,100.04,1297.1,3.7995,8.2771,45.48,11278,32.87,46.885,122.51,0.8753,0.5218,1.419,1.8125
"2001-05-18",2001-05-18,100.7,1307,3.7995,8.2768,45.535,11375,32.93,46.935,123.5,0.8814,0.5301,1.4395,1.814
"2001-05-25",2001-05-25,101.17,1288.5,3.7995,8.2771,45.555,11425,33.5,46.975,120.65,0.8611,0.5205,1.4225,1.8093
"2001-06-01",2001-06-01,101.15,1283.75,3.7995,8.2777,45.375,11450,34.05,47.015,119.24,0.8475,0.5085,1.4184,1.8133
"2001-06-08",2001-06-08,101.08,1285,3.8,8.2767,45.12,11213,34.057,46.98,120.94,0.8505,0.525,1.3784,1.8095
"2001-06-15",2001-06-15,101.02,1292,3.8,8.277,45.3,11260,34.44,47,122.93,0.861,0.5246,1.4031,1.8173
"2001-06-22",2001-06-22,100.98,1303,3.8,8.2767,45.26,11355,34.47,47,124.5,0.8576,0.5163,1.4132,1.821
"2001-06-29",2001-06-29,100.98,1300.5,3.8,8.2767,45.28,11390,34.43,47.04,124.65,0.849,0.5119,1.4153,1.8226
"2001-07-06",2001-07-06,101.04,1292.5,3.8005,8.2768,45.37,11335,34.47,47.135,125.87,0.8476,0.5091,1.4118,1.8266
"2001-07-13",2001-07-13,100.5,1300.5,3.8005,8.2767,45.655,11330,34.981,47.165,124.94,0.8547,0.5083,1.4037,1.8373
"2001-07-20",2001-07-20,100.57,1300.6,3.7995,8.2768,45.8,11145,34.962,47.13,122.98,0.8711,0.5057,1.4277,1.8241
"2001-07-27",2001-07-27,100.77,1295.5,3.8005,8.277,45.655,10050,34.752,47.135,123.53,0.8774,0.5086,1.4236,1.7945
"2001-08-03",2001-08-03,101.39,1278.7,3.8005,8.277,45.41,9520,34.66,47.115,123.66,0.8844,0.5169,1.4293,1.777
"2001-08-10",2001-08-10,102.13,1281,3.7995,8.2768,45.275,9110,34.613,47.12,122.01,0.8934,0.5129,1.4232,1.7601
"2001-08-17",2001-08-17,102.3,1286,3.8005,8.277,44.83,8750,34.544,47.125,120.24,0.9182,0.5358,1.4451,1.7506
"2001-08-24",2001-08-24,101.97,1281.5,3.7995,8.2773,44.365,8695,34.63,47.125,120.03,0.9142,0.5346,1.443,1.747
"2001-08-31",2001-08-31,102.46,1279.5,3.8005,8.2769,44.05,8863,34.545,47.135,118.79,0.9123,0.5296,1.4539,1.7403
"2001-09-07",2001-09-07,102.85,1282.5,3.7995,8.2767,44.595,9125,34.66,47.265,120,0.9075,0.5197,1.4616,1.746
"2001-09-14",2001-09-14,103.04,1297.5,3.7995,8.2766,44.105,9115,34.57,47.815,117.35,0.9207,0.5149,1.4682,1.7325
"2001-09-21",2001-09-21,103.16,1296,3.7995,8.2767,44.275,9415,34.572,48.015,116.58,0.9149,0.4848,1.4567,1.7458
"2001-09-28",2001-09-28,102.05,1304.5,3.7995,8.2768,44.51,9715,34.545,47.86,119.56,0.9114,0.4913,1.4744,1.7653
"2001-10-05",2001-10-05,101.68,1307.5,3.7995,8.2768,44.75,9865,34.556,48.005,120.51,0.9183,0.5069,1.4842,1.788
"2001-10-12",2001-10-12,99.99,1296.5,3.7995,8.2765,44.705,9970,34.545,48.03,121.12,0.9115,0.5058,1.453,1.8173
"2001-10-19",2001-10-19,99.62,1299.5,3.8005,8.2768,44.75,10090,34.54,48.04,121.2,0.8992,0.5089,1.433,1.8235
"2001-10-26",2001-10-26,99.48,1294,3.8005,8.277,44.875,10265,34.54,48.005,122.7,0.893,0.5027,1.4366,1.8275
"2001-11-02",2001-11-02,99.41,1289.15,3.8001,8.2768,44.71,10675,34.526,47.99,121.73,0.9027,0.5088,1.4628,1.8233
"2001-11-09",2001-11-09,99.74,1278.5,3.8005,8.2766,44.47,10410,34.495,48,120.32,0.8939,0.515,1.4562,1.8223
"2001-11-16",2001-11-16,99.33,1277.5,3.8005,8.2771,44.5,10625,34.497,47.97,122.94,0.8843,0.5225,1.4268,1.8354
"2001-11-23",2001-11-23,99.04,1274.6,3.7995,8.2769,44.15,10500,34.481,48.015,124.22,0.878,0.5181,1.4095,1.8375
"2001-11-30",2001-11-30,99.21,1273,3.7995,8.2774,43.935,10465,34.463,47.925,123.48,0.8964,0.5219,1.4241,1.8314
"2001-12-07",2001-12-07,99.07,1269,3.8,8.2772,43.84,10365,34.454,47.81,125.53,0.8902,0.5144,1.4338,1.8333
"2001-12-14",2001-12-14,99.15,1280.5,3.8005,8.2768,43.805,10195,34.501,47.855,127.3,0.9039,0.5199,1.4543,1.8364
"2001-12-21",2001-12-21,99.07,1301.5,3.8005,8.2767,44,10160,34.866,47.82,129.59,0.8892,0.509,1.4411,1.837
"2001-12-28",2001-12-28,99.22,1323,3.7995,8.277,44.2,10475,35.08,48.265,131.12,0.8855,0.5106,1.4513,1.8495
"2002-01-04",2002-01-04,99,1302.5,3.7995,8.2767,43.88,10415,34.95,48.265,131.04,0.8949,0.5207,1.4473,1.8438
"2002-01-11",2002-01-11,99.18,1310.5,3.7995,8.2769,43.98,10430,34.978,48.415,132.22,0.8924,0.5202,1.4486,1.8415
"2002-01-18",2002-01-18,99.95,1318,3.8005,8.2767,43.96,10390,34.967,48.245,132.57,0.8848,0.5145,1.4383,1.8343
"2002-01-25",2002-01-25,99.97,1327.5,3.7995,8.2765,44.07,10435,34.978,48.355,134.47,0.865,0.5168,1.4082,1.8334
"2002-02-01",2002-02-01,100.38,1315.5,3.8005,8.2766,44.03,10330,34.889,48.525,133.07,0.8618,0.5096,1.4162,1.8333
"2002-02-08",2002-02-08,100.37,1320.5,3.8005,8.2767,43.905,10250,34.994,48.705,134.71,0.8722,0.5112,1.415,1.8331
"2002-02-15",2002-02-15,100.41,1311.5,3.8005,8.2768,43.6,10245,35.005,48.675,132.61,0.8734,0.5175,1.432,1.8246
"2002-02-22",2002-02-22,100.39,1321.5,3.7995,8.2765,43.905,10210,35.108,48.755,134.15,0.8755,0.5128,1.4327,1.8322
"2002-03-01",2002-03-01,100.31,1321,3.7995,8.2765,43.705,10100,35.065,48.725,133.46,0.8655,0.5193,1.4177,1.8324
"2002-03-08",2002-03-08,100.16,1314.3,3.7995,8.2771,43.365,10015,34.934,48.725,128.65,0.8749,0.5231,1.423,1.8218
"2002-03-15",2002-03-15,100.1,1319.1,3.8005,8.2775,43.24,9995,34.95,48.725,129,0.8828,0.5263,1.4248,1.8213
"2002-03-22",2002-03-22,99.93,1328.4,3.8005,8.277,43.395,9825,35.027,48.77,132.88,0.8779,0.5306,1.4258,1.8337
"2002-03-29",2002-03-29,99.24,1327,3.8005,8.2774,43.5,9825,34.95,48.815,132.73,0.8717,0.5328,1.4259,1.8432
"2002-04-05",2002-04-05,99.12,1330.5,3.7995,8.277,43.55,9550,34.99,48.84,131.58,0.8783,0.5306,1.4321,1.8355
"2002-04-12",2002-04-12,99.22,1329.5,3.7995,8.2772,43.535,9550,34.997,48.905,131.96,0.8794,0.5344,1.4372,1.8346
"2002-04-19",2002-04-19,99.29,1312.1,3.8005,8.2775,43.295,9352,34.877,48.885,130.36,0.8926,0.5406,1.4476,1.8211
"2002-04-26",2002-04-26,99.69,1297.65,3.8005,8.2773,43.22,9305,34.764,48.97,127.87,0.9019,0.544,1.4582,1.8041
"2002-05-03",2002-05-03,99.7,1283.8,3.8,8.2773,43.005,9310,34.581,48.98,127.01,0.9173,0.5395,1.469,1.8044
"2002-05-10",2002-05-10,99.61,1280,3.8005,8.2771,42.875,9285,34.563,48.965,127.59,0.914,0.545,1.4641,1.8032
"2002-05-17",2002-05-17,99.72,1261.6,3.8005,8.2769,42.6,9090,34.446,48.985,125.98,0.9203,0.5526,1.4579,1.7961
"2002-05-24",2002-05-24,99.5,1243.5,3.7995,8.2771,42.845,8945,34.298,48.995,124.73,0.9208,0.5568,1.4581,1.7986
"2002-05-31",2002-05-31,99.34,1221.5,3.7995,8.2765,42.34,8830,33.972,49.045,124.22,0.9342,0.5674,1.4553,1.7879
"2002-06-07",2002-06-07,99.07,1228,3.8005,8.277,42.385,8875,34.152,49.0185,124.33,0.9435,0.5715,1.4596,1.7926
"2002-06-14",2002-06-14,99.19,1236.1,3.7995,8.2769,42.175,8660,34.102,48.995,124.13,0.9461,0.5604,1.4774,1.7886
"2002-06-21",2002-06-21,99.11,1219.45,3.8005,8.2771,42.03,8630,33.851,48.92,121.11,0.9709,0.5744,1.4976,1.7734
"2002-06-28",2002-06-28,99.31,1201.25,3.8005,8.2771,41.51,8713,33.542,48.885,119.47,0.9915,0.5634,1.5335,1.7672
"2002-07-05",2002-07-05,99.2,1197.5,3.7995,8.2766,41.645,8860,33.414,48.815,120.43,0.9727,0.5576,1.5222,1.7715
"2002-07-12",2002-07-12,99.69,1182.7,3.8005,8.2767,41.075,9075,33.278,48.8,116.88,0.9914,0.5588,1.5543,1.745
"2002-07-19",2002-07-19,100.13,1170.6,3.7995,8.2769,40.445,8775,33.013,48.74,115.88,1.0116,0.5565,1.5771,1.733
"2002-07-26",2002-07-26,100.1,1190.45,3.7995,8.2768,42.025,9150,33.665,48.67,118.8,0.9865,0.5362,1.5657,1.7623
"2002-08-02",2002-08-02,99.95,1184.5,3.7995,8.2768,42.125,9070,33.672,48.655,118.85,0.9867,0.5391,1.57,1.7497
"2002-08-09",2002-08-09,100.01,1202,3.8005,8.2766,42.355,8970,33.91,48.645,120.16,0.9701,0.5357,1.5246,1.7635
"2002-08-16",2002-08-16,100.31,1188.95,3.8001,8.2768,41.78,8815,33.882,48.57,117.65,0.9847,0.5461,1.5392,1.7467
"2002-08-23",2002-08-23,100.52,1202.55,3.7995,8.2767,42.285,8888,34.122,48.53,119.65,0.9731,0.5433,1.5201,1.7553
"2002-08-30",2002-08-30,100.43,1201.95,3.7995,8.2768,42.19,8855,34.24,48.51,118.46,0.9823,0.5505,1.5505,1.7498
"2002-09-06",2002-09-06,100.44,1196.5,3.7995,8.2772,42.275,8865,34.066,48.56,118.54,0.9819,0.5478,1.5603,1.7499
"2002-09-13",2002-09-13,100.31,1203.85,3.8,8.2767,42.875,8975,34.395,48.44,121.7,0.9718,0.5502,1.5519,1.7734
"2002-09-20",2002-09-20,99.71,1209.4,3.8005,8.2769,43.35,9033,34.771,48.415,123.4,0.9826,0.5461,1.5546,1.7786
"2002-09-27",2002-09-27,99.57,1227.95,3.7995,8.2763,43.385,9018,34.92,48.37,122.52,0.9807,0.5436,1.5609,1.7793
"2002-10-04",2002-10-04,99.32,1230.5,3.7995,8.277,43.515,9020,34.959,48.36,123.29,0.9788,0.5468,1.5654,1.7829
"2002-10-11",2002-10-11,99.15,1259.3,3.7995,8.2769,43.875,9007,35.166,48.33,124.05,0.9875,0.5497,1.5615,1.7937
"2002-10-18",2002-10-18,99.23,1246.9,3.8005,8.2767,43.755,9214,34.919,48.4,125.51,0.9714,0.5506,1.5457,1.7913
"2002-10-25",2002-10-25,99.91,1231.75,3.8005,8.2771,43.445,9240,34.801,48.38,124.33,0.9758,0.5557,1.5507,1.7741
"2002-11-01",2002-11-01,100.12,1220.5,3.8005,8.2772,43.275,9225,34.663,48.34,122.17,0.9966,0.5595,1.5646,1.763
"2002-11-08",2002-11-08,100.19,1198.5,3.7995,8.2772,42.97,9185,34.342,48.27,119.84,1.0132,0.5641,1.5917,1.7586
"2002-11-15",2002-11-15,99.79,1210,3.8005,8.2771,43.425,9025,34.563,48.18,120.49,1.0098,0.5636,1.5803,1.7629
"2002-11-22",2002-11-22,99.77,1211.95,3.8,8.2772,43.375,8985,34.752,48.19,122.81,0.9968,0.5636,1.5803,1.7692
"2002-11-29",2002-11-29,99.98,1208.75,3.8005,8.2772,43.495,8978,34.811,48.32,122.55,0.9943,0.561,1.5575,1.7655
"2002-12-06",2002-12-06,99.93,1221,3.7995,8.2772,43.575,8990,34.757,48.225,123.51,1.0091,0.5616,1.5765,1.7656
"2002-12-13",2002-12-13,100.05,1204.5,3.8005,8.2772,43.275,8875,34.739,48.185,120.5,1.0241,0.5653,1.5902,1.7459
"2002-12-20",2002-12-20,100.48,1204.7,3.8005,8.2774,43.115,8888,34.85,48.01,120.39,1.0276,0.5638,1.6032,1.744
"2002-12-27",2002-12-27,100.74,1198,3.7995,8.2772,43.26,8915,34.74,47.975,119.88,1.0441,0.5613,1.6039,1.7357
"2003-01-03",2003-01-03,100.57,1196.95,3.8,8.2768,42.995,8928,34.804,48,119.63,1.0428,0.5676,1.6113,1.7438
"2003-01-10",2003-01-10,100.31,1178.6,3.8,8.2771,42.785,8918,34.436,47.975,119.32,1.0576,0.5836,1.6076,1.7383
"2003-01-17",2003-01-17,100.26,1173.45,3.8,8.277,42.735,8870,34.463,47.92,117.83,1.0678,0.5925,1.6131,1.7327
"2003-01-24",2003-01-24,100.19,1166.5,3.8,8.2773,42.655,8885,34.528,47.84,117.82,1.0827,0.5917,1.6333,1.7246
"2003-01-31",2003-01-31,100.05,1174,3.8,8.2769,42.76,8870,34.731,47.795,119.87,1.0768,0.5871,1.6463,1.7393
"2003-02-07",2003-02-07,99.71,1184,3.8,8.2768,42.915,8870,34.75,47.7,120.27,1.0821,0.5903,1.6319,1.7446
"2003-02-14",2003-02-14,99.2,1204,3.8,8.2772,43.085,8925,34.843,47.86,120.47,1.0793,0.5921,1.6155,1.7536
"2003-02-21",2003-02-21,99.44,1192.15,3.8,8.2775,42.875,8916,34.75,47.72,118.7,1.0772,0.5976,1.579,1.745
"2003-02-28",2003-02-28,99.87,1193.65,3.8,8.2775,42.79,8884,34.747,47.67,118.1,1.0807,0.6085,1.5724,1.7363
"2003-03-07",2003-03-07,99.74,1218.85,3.8,8.2774,42.51,8885,34.635,47.65,117.11,1.1008,0.6134,1.6033,1.7353
"2003-03-14",2003-03-14,99.4,1241.35,3.8,8.2771,42.725,8915,34.698,47.64,118.32,1.0747,0.5983,1.5836,1.7578
"2003-03-21",2003-03-21,98.9,1247.7,3.8,8.2774,43.05,8973,34.788,47.67,121.69,1.0525,0.5903,1.5624,1.772
"2003-03-28",2003-03-28,98.74,1255.3,3.8,8.2771,42.935,8913,34.79,47.545,119.89,1.0779,0.601,1.574,1.7691
"2003-04-04",2003-04-04,98.32,1257.95,3.8,8.277,43.09,8898,34.82,47.4375,120,1.0735,0.6011,1.5611,1.7757
"2003-04-11",2003-04-11,97.89,1229.6,3.8,8.2772,42.98,8890,34.793,47.4125,120.55,1.0752,0.6051,1.5705,1.7813
"2003-04-18",2003-04-18,97.8,1203.9,3.8,8.277,42.75,8722,34.785,47.36,119.77,1.0877,0.6147,1.5711,1.768
"2003-04-25",2003-04-25,97.5,1237.85,3.8,8.277,43.04,8745,34.947,47.355,120.21,1.104,0.6168,1.5915,1.7833
"2003-05-02",2003-05-02,97.44,1212.3,3.8,8.277,42.77,8664,34.789,47.3435,119.07,1.1233,0.6311,1.6038,1.772
"2003-05-09",2003-05-09,98.26,1200.25,3.8,8.2768,42.565,8550,34.775,47.185,117.4,1.1487,0.6458,1.6053,1.7419
"2003-05-16",2003-05-16,98.74,1199.85,3.8,8.277,42.13,8441,34.708,47.135,116.08,1.1592,0.6525,1.6215,1.7255
"2003-05-23",2003-05-23,98.67,1194.2,3.8,8.2768,41.83,8275,34.713,46.9038,116.91,1.1837,0.6603,1.6354,1.7226
"2003-05-30",2003-05-30,98.51,1206,3.8,8.2768,41.75,8310,34.709,47.08,119.3,1.1784,0.6528,1.6364,1.7331
"2003-06-06",2003-06-06,98.67,1200.28,3.8,8.2771,41.65,8180,34.65,46.895,118.66,1.1699,0.6586,1.6623,1.7289
"2003-06-13",2003-06-13,98.09,1191.95,3.8,8.2771,41.64,8225,34.643,46.735,117.42,1.187,0.6686,1.6724,1.7305
"2003-06-20",2003-06-20,98.13,1190.55,3.8,8.2771,41.6,8238,34.593,46.54,118.35,1.1608,0.6683,1.6642,1.738
"2003-06-27",2003-06-27,97.66,1194.45,3.8,8.2774,41.99,8285,34.615,46.4025,119.61,1.1434,0.6678,1.6495,1.7567
"2003-07-04",2003-07-04,97.04,1180.5,3.8,8.2776,41.64,8183,34.37,46.33,118.14,1.149,0.6787,1.6663,1.7494
"2003-07-11",2003-07-11,97.2,1178.5,3.8,8.2772,41.62,8215,34.37,46.1075,117.92,1.1291,0.6592,1.6307,1.7561
"2003-07-18",2003-07-18,97.24,1182.55,3.8,8.277,41.73,8330,34.47,46.235,118.52,1.1269,0.6479,1.5906,1.7599
"2003-07-25",2003-07-25,97.56,1180.15,3.8,8.2775,41.925,8505,34.4,46.11,118.77,1.1507,0.6635,1.6215,1.7457
"2003-08-01",2003-08-01,97.57,1184.2,3.8,8.2772,41.975,8540,34.51,46.16,120.12,1.1277,0.6512,1.6114,1.7596
"2003-08-08",2003-08-08,97.51,1181.05,3.8,8.2772,41.916,8563,34.415,45.96,119.08,1.1309,0.6527,1.6031,1.7589
"2003-08-15",2003-08-15,97.75,1177,3.8,8.2768,41.635,8537,34.355,45.875,119.2,1.1266,0.6602,1.5962,1.7501
"2003-08-22",2003-08-22,98.24,1169.7,3.8,8.2766,41.315,8409,34.217,45.85,117.55,1.0877,0.6525,1.575,1.7443
"2003-08-29",2003-08-29,98.06,1178.35,3.8,8.2771,41.2,8485,34.066,45.84,116.92,1.0984,0.6475,1.5777,1.7546
"2003-09-05",2003-09-05,97.72,1170.25,3.8,8.277,40.705,8485,33.983,45.865,116.83,1.1104,0.6479,1.5883,1.7545
"2003-09-12",2003-09-12,97.52,1170.1,3.8,8.2772,40.736,8453,34.096,45.75,117.29,1.1291,0.6636,1.603,1.7525
