date,USD Curncy,KRW Curncy,MYR Curncy,CNY Curncy,THB Curncy,IDR Curncy,TWD Curncy,INR Curncy,JPY Curncy,AUD Curncy,GBP Curncy,EUR Curncy,SNEER Index
1999-01-08,1.0,1172.5,3.8,8.2796,36.375,7950.0,32.135,42.515,110.85,0.6339,1.6405,1.1585,100.0
1999-01-15,1.0,1184.0,3.7998,8.279,37.205,8975.0,32.191,42.49,114.15,0.6341,1.6502,1.1555,99.75
1999-01-22,1.0,1180.8,3.7998,8.2787,36.695,8875.0,32.268,42.5,114.57,0.6328,1.6535,1.1588,100.09
1999-01-29,1.0,1175.0,3.7997,8.2778,36.835,8875.0,32.3,42.49,116.33,0.6303,1.6449,1.1362,100.18
1999-02-05,1.0,1170.3,3.8,8.2775,36.75,8750.0,32.239,42.45,113.13,0.651,1.6319,1.1266,99.76
1999-02-12,1.0,1176.3,3.7998,8.2784,36.985,8700.0,32.278,42.44,114.25,0.6468,1.6349,1.1308,99.77
1999-02-19,1.0,1205.0,3.7999,8.2787,37.525,8810.0,32.321,42.42,121.3,0.6408,1.622,1.1069,99.78
1999-02-26,1.0,1222.75,3.8,8.2789,37.3,8850.0,32.918,42.507,119.2,0.6188,1.6025,1.1029,99.25
1999-03-05,1.0,1241.75,3.8,8.2784,37.585,8857.0,33.15,42.52,122.73,0.6283,1.6056,1.0823,99.02
1999-03-12,1.0,1233.16,3.8,8.2789,37.475,9100.0,32.94,42.445,118.7,0.6363,1.632,1.0905,98.97
1999-03-19,1.0,1215.0,3.8,8.2788,37.505,8870.0,33.099,42.4,117.14,0.6305,1.6289,1.0896,99.04
1999-03-26,1.0,1223.0,3.8001,8.2798,37.55,8900.0,33.11,42.4,120.3,0.6353,1.624,1.08,98.77
1999-04-02,1.0,1224.6,3.8,8.2794,37.65,8600.0,33.123,42.425,120.52,0.6344,1.6039,1.0786,98.93
1999-04-09,1.0,1223.3,3.8001,8.2797,37.85,8738.0,33.091,42.66,121.0,0.6317,1.6105,1.0797,98.83
1999-04-16,1.0,1204.73,3.8,8.2787,37.35,8650.0,32.67,42.72,117.84,0.6473,1.614,1.0705,99.93
1999-04-23,1.0,1192.0,3.8,8.2784,37.55,8675.0,32.721,42.83,119.13,0.6516,1.6108,1.0599,99.77
1999-04-30,1.0,1175.13,3.7998,8.279,37.1,8065.0,32.683,42.8,119.48,0.6613,1.6095,1.057,100.17
1999-05-07,1.0,1185.0,3.8005,8.2787,36.85,7750.0,32.73,42.76,120.81,0.6722,1.6295,1.0757,99.71
1999-05-14,1.0,1207.6,3.8,8.2781,37.235,7855.0,32.77,42.76,122.84,0.664,1.6189,1.0659,99.61
1999-05-21,1.0,1193.25,3.8003,8.278,37.1,8048.0,32.821,42.76,124.0,0.6576,1.6011,1.0585,99.2
1999-05-28,1.0,1185.8,3.8005,8.2783,37.15,8133.0,32.757,43.01,121.56,0.6525,1.6023,1.0429,98.75
1999-06-04,1.0,1184.0,3.8,8.2784,37.105,8045.0,32.739,42.9688,122.24,0.6585,1.6108,1.0377,99.05
1999-06-11,1.0,1167.4,3.7995,8.2777,36.915,7675.0,32.45,43.07,117.9,0.6656,1.6168,1.0519,98.76
1999-06-18,1.0,1163.5,3.7995,8.2774,36.925,7248.0,32.345,43.16,120.47,0.6525,1.5969,1.0398,98.98
1999-06-25,1.0,1155.0,3.8003,8.2775,36.675,6750.0,32.36,43.36,121.47,0.6616,1.5873,1.043,98.95
1999-07-02,1.0,1163.8,3.8003,8.2785,36.925,6825.0,32.27,43.3925,121.0,0.6685,1.5789,1.0249,99.02
1999-07-09,1.0,1185.5,3.8005,8.2777,37.175,6650.0,32.304,43.35,122.41,0.666,1.5485,1.0196,99.53
1999-07-16,1.0,1182.0,3.8,8.2773,37.14,6695.0,32.385,43.24,120.97,0.6606,1.5623,1.0201,99.37
1999-07-23,1.0,1208.4,3.7995,8.2773,37.135,6945.0,32.272,43.275,116.64,0.6474,1.5779,1.0505,99.12
1999-07-30,1.0,1203.5,3.8003,8.2774,37.205,6880.0,32.195,43.3,114.53,0.6522,1.6216,1.0712,99.38
1999-08-06,1.0,1200.05,3.8,8.2772,37.67,7033.0,32.13,43.47,114.87,0.6531,1.609,1.0743,99.81
1999-08-13,1.0,1206.75,3.7995,8.277,38.025,7925.0,32.086,43.47,115.83,0.6523,1.6045,1.0567,100.85
1999-08-20,1.0,1200.6,3.8,8.2774,38.375,7450.0,31.923,43.57,111.29,0.6362,1.615,1.0672,100.48
1999-08-27,1.0,1182.5,3.8003,8.2773,38.275,7613.0,31.855,43.53,111.43,0.6316,1.5884,1.0464,99.94
1999-09-03,1.0,1190.55,3.8,8.2774,38.82,7870.0,31.823,43.4925,110.04,0.6467,1.6024,1.0613,99.88
1999-09-10,1.0,1191.0,3.7995,8.2774,39.46,8200.0,31.798,43.525,108.72,0.6516,1.6185,1.0374,100.03
1999-09-17,1.0,1203.0,3.7998,8.2773,40.025,8235.0,31.79,43.545,107.16,0.6468,1.6234,1.0423,99.69
1999-09-24,1.0,1211.0,3.7995,8.2775,41.015,8600.0,31.798,43.57,104.18,0.6508,1.6422,1.0439,99.08
1999-10-01,1.0,1215.5,3.7995,8.2778,40.56,8000.0,31.788,43.595,105.1,0.6555,1.6545,1.0725,99.0
1999-10-08,1.0,1203.5,3.7995,8.278,40.275,7720.0,31.779,43.505,107.6,0.6546,1.6514,1.0633,99.64
1999-10-15,1.0,1205.0,3.7995,8.2775,39.205,7925.0,31.771,43.45,105.5,0.6473,1.6697,1.0894,99.9
1999-10-22,1.0,1205.25,3.7995,8.2773,39.1,6900.0,31.76,43.43,105.81,0.649,1.6525,1.069,99.72
1999-10-29,1.0,1199.5,3.7995,8.2778,38.625,6825.0,31.74,43.38,104.1,0.639,1.6448,1.0549,99.83
1999-11-05,1.0,1186.5,3.7995,8.2779,38.525,6790.0,31.747,43.415,106.05,0.6392,1.6195,1.0421,99.83
1999-11-12,1.0,1170.25,3.7995,8.278,38.8,7093.0,31.746,43.4,105.3,0.6453,1.6152,1.0318,99.82
1999-11-19,1.0,1173.65,3.7995,8.2785,38.695,7019.0,31.75,43.3775,106.39,0.639,1.6199,1.03,100.03
1999-11-26,1.0,1159.65,3.8,8.2785,38.8,7210.0,31.735,43.4,101.87,0.635,1.6073,1.0163,100.1
1999-12-03,1.0,1150.25,3.7995,8.2787,38.975,7275.0,31.644,43.44,102.67,0.6322,1.6006,1.0018,99.55
1999-12-10,1.0,1132.65,3.8,8.2795,38.66,7225.0,31.617,43.48,102.25,0.6351,1.6215,1.0134,99.36
1999-12-17,1.0,1130.4,3.8,8.2794,38.17,7075.0,31.656,43.4945,103.03,0.6428,1.6044,1.0088,99.52
1999-12-24,1.0,1131.9,3.7995,8.2792,37.6,7025.0,31.606,43.53,102.93,0.6433,1.6158,1.011,99.75
1999-12-31,1.0,1140.0,3.7995,8.2795,37.49,7100.0,31.395,43.55,102.51,0.6567,1.6182,1.0062,99.84
2000-01-07,1.0,1137.5,3.7995,8.2794,37.265,7165.0,30.848,43.55,105.34,0.6549,1.6393,1.0295,100.05
2000-01-14,1.0,1117.71,3.7995,8.2797,37.455,7123.0,30.847,43.53,105.87,0.6657,1.6313,1.0122,99.78
2000-01-21,1.0,1127.5,3.8,8.2795,37.22,7335.0,30.82,43.572,104.78,0.6629,1.6487,1.0098,99.48
2000-01-28,1.0,1123.93,3.7995,8.2781,37.625,7475.0,30.706,43.64,107.13,0.635,1.6201,0.9747,98.84
2000-02-04,1.0,1129.5,3.7995,8.2788,37.55,7563.0,30.775,43.63,107.19,0.638,1.5918,0.9832,99.23
2000-02-11,1.0,1121.43,3.7995,8.2788,37.425,7335.0,30.617,43.66,108.82,0.6305,1.5936,0.9875,99.23
2000-02-18,1.0,1129.5,3.7995,8.2772,38.105,7435.0,30.715,43.64,111.09,0.6293,1.6013,0.9839,99.03
2000-02-25,1.0,1136.5,3.8,8.2786,37.825,7350.0,30.76,43.6195,110.29,0.6151,1.5953,0.9749,98.77
2000-03-03,1.0,1124.43,3.7995,8.2789,38.005,7465.0,30.745,43.605,107.9,0.6084,1.5778,0.9586,98.36
2000-03-10,1.0,1123.43,3.7995,8.2785,37.825,7355.0,30.738,43.605,106.35,0.6151,1.5765,0.9637,98.43
2000-03-17,1.0,1117.25,3.8,8.278,37.96,7435.0,30.69,43.56,106.73,0.6067,1.5748,0.9721,98.52
2000-03-24,1.0,1117.93,3.7995,8.2789,37.735,7453.0,30.666,43.62,106.87,0.6086,1.5941,0.9779,98.35
2000-03-31,1.0,1116.43,3.7995,8.2787,37.835,7580.0,30.43,43.62,102.78,0.6071,1.5911,0.9555,98.24
2000-04-07,1.0,1107.1,3.7995,8.2795,37.985,7665.0,30.46,43.65,105.37,0.5986,1.5795,0.9553,98.43
2000-04-14,1.0,1111.1,3.7997,8.2794,37.877,7605.0,30.4,43.662,104.74,0.5976,1.5868,0.9622,98.44
2000-04-21,1.0,1108.45,3.7998,8.2785,37.928,7995.0,30.527,43.642,105.77,0.5944,1.5795,0.9385,99.48
2000-04-28,1.0,1109.75,3.8,8.2799,38.075,7925.0,30.621,43.67,108.18,0.5839,1.5513,0.9119,99.83
2000-05-05,1.0,1111.15,3.8,8.2799,38.51,7970.0,30.646,43.6425,108.56,0.5965,1.5303,0.897,99.59
2000-05-12,1.0,1114.5,3.7995,8.2778,38.895,8455.0,30.7,43.95,108.47,0.5811,1.5202,0.9197,99.62
2000-05-19,1.0,1122.7,3.7995,8.2768,38.925,8360.0,30.74,43.98,106.98,0.5742,1.487,0.8975,99.72
2000-05-26,1.0,1136.0,3.7995,8.2771,39.18,8515.0,30.815,44.4,107.15,0.5736,1.49,0.9309,99.52
2000-06-02,1.0,1125.1,3.7995,8.2771,38.89,8315.0,30.832,44.64,108.03,0.5798,1.5098,0.9463,99.33
2000-06-09,1.0,1115.0,3.7995,8.2772,39.075,8625.0,30.791,44.765,106.91,0.5881,1.5096,0.9536,99.35
2000-06-16,1.0,1116.3,3.7995,8.2768,39.135,8600.0,30.853,44.7,106.41,0.6063,1.5153,0.965,99.18
2000-06-23,1.0,1119.25,3.7995,8.2769,39.075,8675.0,30.767,44.68,104.75,0.5946,1.5011,0.9359,98.64
2000-06-30,1.0,1115.03,3.7995,8.2782,39.175,8760.0,30.8,44.675,106.12,0.5974,1.5141,0.9525,98.74
2000-07-07,1.0,1118.5,3.7995,8.2793,39.725,9313.0,30.84,44.72,107.91,0.5919,1.5139,0.9484,99.04
2000-07-14,1.0,1112.8,3.7995,8.2796,40.015,9500.0,30.88,44.7,107.72,0.5844,1.5006,0.9385,99.08
2000-07-21,1.0,1112.8,3.7995,8.2795,40.425,8925.0,31.023,44.75,108.92,0.5856,1.517,0.9369,98.98
2000-07-28,1.0,1116.75,3.7995,8.2794,41.415,8900.0,31.02,44.87,109.59,0.588,1.5027,0.923,99.3
2000-08-04,1.0,1116.0,3.8,8.2798,40.65,8625.0,31.1,45.48,108.65,0.5866,1.5065,0.9083,100.2
2000-08-11,1.0,1115.5,3.7995,8.2796,40.675,8325.0,31.09,45.8,108.53,0.5783,1.5015,0.9026,100.53
2000-08-18,1.0,1115.25,3.8,8.2797,41.025,8345.0,31.088,45.765,108.41,0.5908,1.4895,0.9064,100.49
2000-08-25,1.0,1114.15,3.7995,8.2799,40.825,8335.0,31.073,45.86,106.86,0.5743,1.4692,0.9021,100.57
2000-09-01,1.0,1105.38,3.7995,8.2787,40.905,8275.0,31.08,45.765,106.0,0.5765,1.4642,0.8997,100.51
2000-09-08,1.0,1109.0,3.8005,8.2794,41.605,8390.0,31.09,45.645,106.12,0.556,1.4151,0.8672,100.27
2000-09-15,1.0,1119.85,3.8,8.2771,41.965,8745.0,31.17,45.8,107.12,0.5443,1.3977,0.8543,100.31
2000-09-22,1.0,1134.5,3.8,8.2787,42.76,8765.0,31.298,46.2,107.92,0.5443,1.4537,0.8766,100.45
2000-09-29,1.0,1115.15,3.8005,8.2798,42.14,8775.0,31.33,46.04,108.14,0.5428,1.4754,0.8828,100.21
2000-10-06,1.0,1117.75,3.8005,8.279,42.545,8790.0,31.298,46.095,108.81,0.5338,1.4459,0.8684,100.37
2000-10-13,1.0,1130.5,3.7995,8.2784,43.455,8908.0,31.788,46.365,107.83,0.5285,1.4498,0.856,100.28
2000-10-20,1.0,1130.5,3.8005,8.2778,43.675,8950.0,32.147,46.355,108.85,0.5291,1.4512,0.8421,100.79
2000-10-27,1.0,1136.0,3.8,8.2788,43.755,9130.0,32.267,46.725,108.65,0.5235,1.455,0.8393,101.1
2000-11-03,1.0,1132.0,3.8,8.2768,43.445,9135.0,32.2,46.59,107.08,0.5263,1.4485,0.8666,101.5
2000-11-10,1.0,1135.5,3.8,8.2772,43.68,9230.0,32.068,46.73,107.87,0.5194,1.4254,0.8596,101.74
2000-11-17,1.0,1143.0,3.8,8.2769,44.15,9480.0,32.242,46.7735,108.77,0.5188,1.4227,0.8478,101.53
2000-11-24,1.0,1189.5,3.8,8.2779,43.765,9420.0,32.875,46.83,111.28,0.5235,1.3994,0.838,101.61
2000-12-01,1.0,1209.5,3.8,8.2775,43.725,9520.0,33.04,46.86,111.29,0.5382,1.4423,0.8799,101.62
2000-12-08,1.0,1190.5,3.8,8.2769,43.655,9545.0,33.024,46.765,111.04,0.5488,1.4518,0.8888,101.87
2000-12-15,1.0,1207.5,3.8,8.2768,43.425,9355.0,33.08,46.77,112.58,0.5456,1.4757,0.8966,102.24
2000-12-22,1.0,1237.15,3.8,8.2777,42.05,9288.0,33.184,46.665,112.88,0.5565,1.4765,0.9232,102.07
2000-12-29,1.0,1265.0,3.8,8.2774,43.385,9675.0,33.082,46.675,114.41,0.5588,1.493,0.9427,102.31
2001-01-05,1.0,1264.5,3.8001,8.2775,43.235,9500.0,32.868,46.715,116.53,0.5719,1.5038,0.957,101.94
2001-01-12,1.0,1278.0,3.7995,8.2768,43.355,9600.0,32.703,46.55,118.55,0.5573,1.4786,0.9513,102.14
2001-01-19,1.0,1276.9,3.7995,8.2764,43.025,9450.0,32.585,46.375,117.18,0.5563,1.4628,0.9342,102.28
2001-01-26,1.0,1280.8,3.7995,8.2786,42.81,9450.0,32.55,46.475,117.18,0.5442,1.4554,0.9244,101.81
