date;SGD;KRW;MYR;CNY;THB;IDR;TWD;INR;JPY;AUD;GBP;EUR
1991-11-05;1.67;757.7;2.7415;5.3944;25.52;1977;26.11;25.8;129.8;1.2804;0.5639;0.7878
1991-11-06;1.674;756.2;2.739;5.3944;25.51;1977;26.135;25.79;129.9;1.2757;0.5642;0.7866
1991-11-07;1.6805;756;2.7425;5.3944;25.53;1977;26.125;25.79;129.7;1.276;0.5647;0.7845
1991-11-08;1.6784;756.8;2.7445;5.3975;25.51;1977;26.117;25.82;130.32;1.2753;0.5666;0.7874
1991-11-11;1.682;750;2.7424;5.3975;25.53;1977;26.025;25.84;129.91;1.2723;0.5637;0.7877
1991-11-12;1.6787;756.6;2.743;5.3975;25.45;1977;26.117;25.8039;129.65;1.2723;0.5648;0.7842
1991-11-13;1.679;756.7;2.7415;5.3975;25.52;1978;26.006;25.8;130.12;1.2726;0.5635;0.7849
1991-11-14;1.678;755.8;2.7395;5.4002;25.51;1978;25.86;25.8;129.87;1.271;0.5628;0.7823
1991-11-15;1.675;756.4;2.7415;5.3976;25.5;1978;25.86;25.8;130.05;1.27;0.5594;0.787
1991-11-18;1.674;757;2.734;5.3976;25.5;1978;25.903;25.8;129.3;1.2721;0.5585;0.7716
1991-11-19;1.6645;757.4;2.7365;5.3976;25.46;1980;25.905;25.79;129.95;1.2665;0.5543;0.7691
1991-11-20;1.6665;757.3;2.7385;5.3976;25.48;1978;25.93;25.8;129.77;1.2658;0.5566;0.7711
1991-11-21;1.6645;758.5;2.739;5.3955;25.48;1978;25.934;25.79;129.62;1.2658;0.5584;0.7688
1991-11-22;1.664;759.3;2.738;5.402;25.48;1978;25.9;25.78;129.53;1.2634;0.5563;0.7644
1991-11-25;1.662;759.4;2.7368;5.402;25.48;1978;25.85;25.8;127.77;1.2639;0.5572;0.7632
1991-11-26;1.6555;758.9;2.738;5.402;25.43;1980;25.77;25.77;128.1;1.2718;0.5656;0.7622
1991-11-27;1.652;758.6;2.746;5.402;25.43;1980;25.76;25.8;130.28;1.2694;0.5651;0.7771
1991-11-28;1.669;758.6;2.751;5.402;25.47;1980;25.757;25.82;129.9;1.276;0.5655;0.7779
1991-11-29;1.665;759;2.7535;5.4115;25.37;1980;25.761;25.8012;130.08;1.2742;0.5656;0.7833
1991-12-02;1.6685;759;2.751;5.4115;25.5;1980;25.778;25.8;129.95;1.2762;0.5642;0.7738
1991-12-03;1.658;758.9;2.752;5.4115;25.48;1982;25.82;25.78;129.55;1.275;0.5631;0.7754
1991-12-04;1.6635;758.7;2.7498;5.4115;25.49;1982;25.771;25.8;129.55;1.2713;0.5599;0.7771
1991-12-05;1.66;759.1;2.748;5.4115;25.47;1982;25.71;25.79;128.77;1.2801;0.5561;0.7668
1991-12-06;1.658;759.6;2.74;5.4115;25.37;1982;25.72;25.81;128.2;1.2844;0.5504;0.758
1991-12-09;1.652;759.5;2.742;5.4115;25.42;1982;25.728;25.86;128.4;1.292;0.5515;0.7564
1991-12-10;1.6485;760.4;2.742;5.4115;25.42;1989;25.74;25.83;128.7;1.2922;0.5534;0.7576
1991-12-11;1.651;761;2.748;5.4207;25.37;1989;25.747;25.86;129.15;1.2977;0.5531;0.7611
1991-12-12;1.654;761.4;2.748;5.4207;25.42;1989;25.741;25.86;129.24;1.2958;0.5533;0.7623
1991-12-13;1.654;761.1;2.75;5.4207;25.42;1989;25.735;25.86;128.8;1.3007;0.5508;0.7623
1991-12-16;1.657;761.8;2.746;5.4299;25.42;1989;25.742;25.83;128.47;1.294;0.5479;0.7581
1991-12-17;1.649;762.5;2.744;5.4261;25.43;1984;25.74;25.84;128.6;1.2925;0.547;0.7559
1991-12-18;1.646;762.7;2.744;5.4261;25.4;1984;25.743;25.83;128.45;1.2928;0.547;0.7564
1991-12-19;1.648;762.7;2.742;5.4261;25.37;1984;25.741;25.81;128.33;1.2953;0.5442;0.7507
1991-12-20;1.6445;762.9;2.738;5.4261;25.37;1984;25.73;25.79;127.57;1.3079;0.538;0.74
1991-12-23;1.64;763.2;2.733;5.4261;25.37;1984;25.73;25.79;126.55;1.3184;0.5315;0.7314
1991-12-24;1.628;763.5;2.733;5.4292;25.37;1984;25.72;25.82;127.55;1.3141;0.5336;0.7315
1991-12-25;1.63;763.5;2.733;5.4292;25.37;1984;25.75;25.85;127.02;1.3141;0.5308;0.7315
1991-12-26;1.63;763.3;2.732;5.4292;25.37;1984;25.7;25.85;126.78;1.3125;0.5299;0.7315
1991-12-27;1.631;764;2.7385;5.4292;25.37;1984;25.735;25.63;125.57;1.3142;0.534;0.7309
1991-12-30;1.627;764.7;2.733;5.4478;25.37;1984;25.74;25.8;125.75;1.3153;0.536;0.7316
1991-12-31;1.631;765.3;2.722;5.4478;25.37;1995;25.747;25.79;124.9;1.312;0.5346;0.7323
1992-01-01;1.631;765.3;2.722;5.4478;25.37;1995;25.747;25.79;124.9;1.312;0.5346;0.7323
1992-01-02;1.628;765.3;2.723;5.4478;25.37;1984;25.747;25.7921;124.5;1.3198;0.5353;0.732
1992-01-03;1.626;765.3;2.72;5.4559;25.25;1984;25.49;25.79;124.8;1.3196;0.541;0.7418
1992-01-06;1.63;763.5;2.711;5.4559;25.25;1985;25.51;25.81;124.1;1.3115;0.5311;0.7322
1992-01-07;1.626;763.8;2.704;5.4494;25.25;1990;25.15;25.79;124.4;1.3163;0.5301;0.7294
1992-01-08;1.625;765.5;2.705;5.4494;25.2;1990;24.9;25.79;124.9;1.3233;0.5322;0.7298
1992-01-09;1.622;766.1;2.7065;5.4494;25.2;1990;25.135;25.79;125.4;1.3414;0.5507;0.7404
1992-01-10;1.6272;767.1;2.7175;5.4591;25.22;1992;25.145;25.82;127.05;1.3493;0.5588;0.756
1992-01-13;1.6365;766.9;2.716;5.4646;25.22;1996;25.183;25.81;126.85;1.3477;0.5559;0.7586
1992-01-14;1.638;767.5;2.706;5.4646;25.36;1993;25.201;25.8;126.8;1.345;0.5613;0.7559
1992-01-15;1.6345;767.5;2.718;5.4646;25.36;1994;25.195;25.81;128.4;1.3463;0.5728;0.7811
1992-01-16;1.648;767.7;2.7095;5.4686;25.38;1993;25.17;25.86;128.28;1.3454;0.5684;0.7797
1992-01-17;1.644;767.9;2.697;5.4686;25.45;1995;25.16;25.84;127.45;1.3459;0.5566;0.7688
1992-01-20;1.643;762.9;2.6905;5.4686;25.45;1995;25.125;25.94;123.97;1.3282;0.5562;0.7663
1992-01-21;1.6305;768.2;2.682;5.4641;25.2;2002;25.121;25.79;123.2;1.3312;0.5542;0.7603
1992-01-22;1.63;768.8;2.676;5.4641;25.34;1999;25.125;25.88;123.22;1.3271;0.5543;0.7604
1992-01-23;1.633;769;2.6775;5.4641;25.34;1996;25.058;25.86;123.9;1.3425;0.5601;0.7656
1992-01-24;1.634;769.1;2.665;5.4668;25.32;1998;25.081;25.88;123.42;1.3481;0.5568;0.7638
1992-01-27;1.6385;769;2.659;5.4668;25.36;1999;24.96;25.98;125.4;1.3512;0.5611;0.7745
1992-01-28;1.635;769;2.664;5.4686;25.39;2001;24.94;25.95;125.62;1.3414;0.5585;0.7668
1992-01-29;1.633;768.1;2.6515;5.4686;25.38;1999;24.933;25.94;125.45;1.3419;0.5564;0.7631
1992-01-30;1.633;767.1;2.636;5.4686;25.38;2000;24.967;25.92;126;1.3346;0.5607;0.7744
1992-01-31;1.634;766.5;2.627;5.4686;25.39;2001;24.993;25.91;125.55;1.3317;0.5594;0.7708
1992-02-03;1.638;766.8;2.619;5.4686;25.4;2001;25.01;25.95;125.95;1.3303;0.5567;0.7679
1992-02-04;1.629;763;2.617;5.4686;25.4;2001;25.035;25.84;126.15;1.3364;0.5545;0.7649
1992-02-05;1.627;766.8;2.613;5.4686;25.215;2001;24.76;25.81;125.83;1.341;0.551;0.7617
1992-02-06;1.626;766.8;2.607;5.4686;25.25;2002;25.02;25.8;125.65;1.341;0.549;0.7584
1992-02-07;1.626;768.3;2.602;5.4686;25.25;2001;24.94;25.8;125.22;1.333;0.5435;0.751
1992-02-10;1.622;768.8;2.603;5.4616;25.36;2003;24.985;25.8;126.7;1.3371;0.5501;0.754
1992-02-11;1.6205;769.5;2.6085;5.4709;25.34;2002;25.01;25.82;126.93;1.3317;0.556;0.7625
1992-02-12;1.628;769.5;2.617;5.4802;25.38;2003;25;25.91;127.68;1.3277;0.5593;0.7717
1992-02-13;1.632;768.5;2.616;5.4837;25.4;2003;24.961;25.94;127.68;1.325;0.564;0.7788
1992-02-14;1.641;768.8;2.597;5.4837;25.43;2007;24.915;25.92;127.93;1.3235;0.5647;0.7813
1992-02-17;1.6375;765.3;2.5945;5.4837;25.46;2006;25.005;25.9;127;1.3268;0.565;0.7787
1992-02-18;1.6465;769.9;2.5965;5.4837;25.28;2007;25.014;25.9145;128;1.3257;0.5706;0.7908
1992-02-19;1.6465;770.9;2.5945;5.4837;25.44;2008;25.025;25.91;128.4;1.3207;0.5697;0.7882
1992-02-20;1.6445;771;2.589;5.4837;25.48;2011;25.06;27;128.65;1.3226;0.5711;0.7921
1992-02-21;1.6435;772;2.5905;5.4837;25.51;2012;25.052;26.55;128.72;1.3317;0.5737;0.7912
1992-02-24;1.6445;772.5;2.589;5.4837;25.52;2010;25.07;26.4;129.1;1.3324;0.5728;0.7922
1992-02-25;1.646;772.8;2.593;5.4837;25.53;2009;25.063;25.9;129.45;1.33;0.5755;0.7842
1992-02-26;1.642;771.6;2.595;5.4837;25.53;2010;25.081;25.85;129.68;1.3305;0.5698;0.7928
1992-02-27;1.646;771.9;2.5905;5.483;25.56;2008;25.058;25.75;129.41;1.3257;0.5669;0.7878
1992-02-28;1.64;772.4;2.586;5.483;25.53;2010;25.11;25.75;129.15;1.3245;0.5689;0.7854
1992-03-02;1.6438;772.4;2.58;5.483;25.53;2011;25.16;26.2;129.63;1.3277;0.5699;0.7892
1992-03-03;1.6435;773.2;2.578;5.483;25.53;2010;25.2;26.3;130.84;1.3289;0.5757;0.7942
1992-03-04;1.647;772.8;2.574;5.4887;25.54;2013;25.29;27.9;132.11;1.3256;0.5802;0.7998
1992-03-05;1.649;772.9;2.567;5.4887;25.6;2009;25.265;27.9;131.85;1.3231;0.5825;0.8016
1992-03-06;1.655;772.9;2.567;5.4887;25.61;2010;25.205;28.05;131.76;1.3228;0.5816;0.802
1992-03-09;1.6585;772.8;2.559;5.4887;25.63;2011;25.256;27.9;131.92;1.3201;0.5798;0.7979
1992-03-10;1.6638;769.1;2.566;5.4887;25.65;2012;25.25;27.95;132.88;1.3219;0.5824;0.8006
1992-03-11;1.6695;773.6;2.564;5.4887;25.61;2013;25.278;27.8;133.45;1.3247;0.5789;0.7982
1992-03-12;1.6755;774.1;2.5645;5.4864;25.68;2013;25.33;27.85;134.25;1.3261;0.5835;0.8039
