date,KRW Curncy,MYR Curncy,CNY Curncy,THB Curncy,IDR Curncy,INR Curncy,TWD Curncy,JPY Curncy,EUR Curncy,AUD Curncy,GBP Curncy,USD Curncy
1995-01-02,,,,,,,,,,,,
1995-01-03,,,,,,,,,,,,
1995-01-04,,,,,,,,,,,,
1995-01-05,,,,,,,,,,,,
1995-01-06,,,,,,,,,,,,
1995-01-09,,,,,,,,,,,,
1995-01-10,,,,,,,,,,,,
1995-01-11,,,,,,,,,,,,
1995-01-12,,,,,,,,,,,,
1995-01-13,,,,,,,,,,,,
1995-01-16,,,,,,,,,,,,
1995-01-17,,,,,,,,,,,,
1995-01-18,,,,,,,,,,,,
1995-01-19,,,,,,,,,,,,
1995-01-20,,,,,,,,,,,,
1995-01-23,,,,,,,,,,,,
1995-01-24,,,,,,,,,,,,
1995-01-25,,,,,,,,,,,,
1995-01-26,,,,,,,,,,,,
1995-01-27,,,,,,,,,,,,
1995-01-30,,,,,,,,,,,,
1995-01-31,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-01,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-02,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-03,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-06,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-07,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-08,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-09,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-10,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-13,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-14,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-15,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-16,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-17,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-20,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-21,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-22,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-23,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-24,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-27,488.1,2135.6,450.7,607.4,103.8,,497,2278.5,,172.2,318.9,1771.1
1995-02-28,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-01,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-02,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-03,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-06,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-07,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-08,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-09,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-10,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-13,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-14,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-15,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-16,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-17,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-20,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-21,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-22,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-23,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-24,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-27,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-28,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-29,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-30,473.6,1988.8,302.3,664.3,96.5,,424.5,2708,,180.8,381.4,1911.8
1995-03-31,559.2,2069.5,439.4,786.4,118.7,,570.1,3260.6,,274.4,375.7,2341.4
1995-04-03,559.2,2069.5,439.4,786.4,118.7,,570.1,3260.6,,274.4,375.7,2341.4
1995-04-04,559.2,2069.5,439.4,786.4,118.7,,570.1,3260.6,,274.4,375.7,2341.4
1995-04-05,559.2,2069.5,439.4,786.4,118.7,,570.1,3260.6,,274.4,375.7,2341.4
1995-04-06,559.2,2069.5,439.4,786.4,118.7,,570.1,3260.6,,274.4,375.7,2341.4
1995-04-07,559.2,2069.5,439.4,786.4,118.7,,570.1,3260.6,,274.4,375.7,2341.4
1995-04-10,559.2,2069.5,439.4,786.4,118.7,,570.1,3260.6,,274.4,375.7,2341.4
1995-04-11,559.2,2069.5,439.4,786.4,118.7,,570.1,3260.6,,274.4,375.7,2341.4
1995-04-12,559.2,2069.5,439.4,786.4,118.7,,570.1,3260.6,,274.4,375.7,2341.4
1995-04-13,559.2,2069.5,439.4,786.4,118.7,,570.1,3260.6,,274.4,375.7,2341.4
1995-04-14,559.2,2069.5,439.4,786.4,118.7,,570.1,3260.6,,274.4,375.7,2341.4
